	¾ùÖµ
5-2.5 2.5 95(1)_RBg	5-2.5 2.5 95(1)_RBg
111.5196	-32.3671586
120.9049	70.03284
130.2617	83.782832
139.59	87.382832
148.8902	95.607826
158.1623	132.05782
167.4065	331.08284
176.623	930.75786
185.8118	3127.5578
194.9732	6102.0326
204.1073	10445.682
213.2142	12592.284
222.2941	13467.808
231.3471	13043.108
240.3733	12271.884
249.373	11781.108
258.3463	11288.732
267.2932	10824.206
276.2139	10127.482
285.1086	9522.0078
293.9775	8796.5078
302.8206	8305.4328
311.638	7805.9826
320.43	7459.7826
329.1967	7143.9326
337.9381	7012.3326
346.6545	6890.2326
355.3459	6737.5576
364.0125	6551.8826
372.6544	6420.9576
381.2718	6268.2826
389.8647	6205.7326
398.4334	6223.9826
406.9779	6130.3826
415.4984	5936.9326
423.9949	5776.1576
432.4677	5542.8576
440.9168	5374.4826
449.3424	5230.5326
457.7446	5131.6076
466.1235	5034.8826
474.4792	4965.7826
482.8119	4902.0076
491.1217	4802.0076
499.4087	4675.5826
507.6729	4544.6326
515.9147	4371.7576
524.134	4169.8076
532.3309	3885.1578
540.5057	3664.2828
548.6583	3401.3578
556.789	3292.1328
564.8978	3328.8328
572.9849	3494.0078
581.0503	3757.2328
589.0942	3925.4328
597.1167	4045.1078
605.1179	3901.6328
613.0979	3532.0828
621.0568	3264.8328
628.9948	3025.2328
636.9119	2926.8578
644.8082	2798.8078
652.684	2684.4328
660.5391	2588.7578
668.3739	2554.4328
676.1883	2572.8578
683.9825	2650.6328
691.7567	2809.1328
699.5107	2988.9078
707.2449	3264.9078
714.9593	3541.9828
722.654	3758.5328
730.3291	3679.4328
737.9847	3437.4078
745.6209	3286.1078
753.2379	3251.3828
760.8356	3293.1078
768.4142	3256.5578
775.9738	3124.3828
783.5146	3053.3328
791.0365	3215.3578
798.5397	3764.0328
806.0244	4306.5826
813.4905	4838.3576
820.9382	5295.1326
828.3676	6216.0076
835.7788	7009.2326
843.1719	7642.8576
850.5469	7749.0076
857.9039	7832.5326
865.2432	8031.3326
872.5646	7896.1826
879.8684	7512.8826
887.1546	7043.0326
894.4233	6486.0826
901.6747	6093.4076
908.9088	5997.7576
916.1255	5819.4326
923.3253	5500.1076
930.5079	5242.8826
937.6736	5140.9326
944.8224	5006.1826
951.9545	4889.9326
959.0698	5031.8826
966.1686	5300.5326
973.2508	4996.4076
980.3167	4307.0826
987.3661	3816.6328
994.3993	3795.1828
1001.416	4059.7578
1008.417	4383.5076
1015.402	4673.8326
1022.371	4774.6326
1029.324	4848.1076
1036.261	4923.0826
1043.183	4990.6576
1050.089	5333.4326
1056.98	6295.0326
1063.855	6984.9576
1070.714	7451.9576
1077.559	7782.4326
1084.388	7322.0326
1091.202	6086.7326
1098.001	4645.3076
1104.785	3904.8328
1111.554	3821.3328
1118.308	3686.2328
1125.048	3047.8328
1131.773	2471.2578
1138.483	2238.2078
1145.179	2139.6328
1151.86	2057.0578
1158.527	2035.4328
1165.18	2077.0328
1171.818	2110.5328
1178.442	2125.1828
1185.053	2168.8078
1191.649	2256.3078
1198.231	2307.1078
1204.799	2361.0078
1211.354	2483.4328
1217.895	2710.0078
1224.422	3023.7578
1230.936	3481.2828
1237.436	4091.4078
1243.922	5027.8826
1250.396	6367.4326
1256.856	7850.5076
1263.302	8697.5328
1269.736	8666.6578
1276.157	8107.9326
1282.564	8020.8826
1288.959	9488.2828
1295.34	12228.232
1301.709	13096.956
1308.065	11114.632
1314.408	8613.8078
1320.739	6618.7326
1327.057	5053.8076
1333.363	3966.4328
1339.656	3503.5578
1345.937	3296.8828
1352.205	3123.7328
1358.462	3073.3828
1364.706	3040.6828
1370.938	2821.0828
1377.158	2489.9828
1383.366	2275.9078
1389.562	2315.9828
1395.746	2671.5078
1401.918	3040.0078
1408.079	3474.7828
1414.227	4347.9826
1420.365	6074.8576
1426.49	10217.656
1432.605	16585.508
1438.707	19668.458
1444.799	18287.882
1450.879	15779.956
1456.948	13019.506
1463.005	9827.7584
1469.052	6713.1076
1475.087	4539.0576
1481.111	3226.1578
1487.124	2549.5828
1493.127	2139.1328
1499.118	1882.5828
1505.099	1683.7578
1511.069	1531.6328
1517.028	1416.8078
1522.977	1327.8078
1528.915	1258.1578
1534.842	1203.2078
1540.76	1150.2328
1546.666	1098.6328
1552.563	1054.0328
1558.448	1017.28272
1564.324	983.28276
1570.19	953.98286
1576.045	931.48286
1581.89	917.75786
1587.726	907.08286
1593.551	897.48286
1599.366	898.65786
1605.172	913.13286
1610.967	962.85786
1616.753	1110.1078
1622.529	1322.1328
1628.296	1613.7828
1634.052	2174.7328
1639.8	3794.4078
1645.537	7053.9326
1651.266	10274.958
1656.984	9236.7578
1662.694	5234.6576
1668.394	2570.9828
1674.085	1436.2078
1679.766	1073.8578
1685.439	899.80786
1691.102	830.90786
1696.756	794.58286
1702.401	780.93286
1708.038	753.85786
1713.665	769.45786
1719.283	848.95786
1724.893	1042.9078
1730.494	1500.9078
1736.086	2092.2578
1741.669	2648.9578
1747.244	2658.2328
1752.81	2063.1828
1758.367	1377.7078
1763.916	867.60786
1769.457	662.00786
1774.989	575.35786
1780.513	535.68286
1786.028	503.10786
1791.535	480.83284
1797.034	466.03284
1802.525	458.18284
1808.007	445.78284
1813.481	432.90784
1818.948	417.65784
1824.406	413.00784
1829.856	401.03284
1835.299	395.55784
1840.733	379.30784
1846.16	384.38284
1851.579	379.48284
1856.99	371.28284
1862.393	358.98284
1867.789	365.43284
1873.177	366.13284
1878.557	357.20784
1883.93	352.43284
