	¾ùÖµ
6-5 2.5 92.5(1)_RBg	6-5 2.5 92.5(1)_RBg
111.5196	-37.960752
120.9049	76.464246
130.2617	84.73925
139.59	89.96425
148.8902	99.139266
158.1623	133.93924
167.4065	304.53924
176.623	858.56426
185.8118	2883.489
194.9732	5674.714
204.1073	9707.014
213.2142	11716.414
222.2941	12515.19
231.3471	12124.414
240.3733	11419.016
249.373	10942.34
258.3463	10487.964
267.2932	10056.7386
276.2139	9434.614
285.1086	8857.564
293.9775	8194.414
302.8206	7718.964
311.638	7257.514
320.43	6927.364
329.1967	6648.414
337.9381	6525.614
346.6545	6408.414
355.3459	6265.214
364.0125	6098.414
372.6544	5967.239
381.2718	5815.814
389.8647	5768.489
398.4334	5792.639
406.9779	5703.864
415.4984	5523.789
423.9949	5363.089
432.4677	5161.589
440.9168	4990.889
449.3424	4863.064
457.7446	4766.589
466.1235	4687.564
474.4792	4614.464
482.8119	4550.139
491.1217	4462.739
499.4087	4352.064
507.6729	4230.064
515.9147	4071.564
524.134	3861.739
532.3309	3610.539
540.5057	3392.339
548.6583	3172.514
556.789	3059.114
564.8978	3090.289
572.9849	3257.889
581.0503	3492.539
589.0942	3655.589
597.1167	3757.539
605.1179	3611.589
613.0979	3288.289
621.0568	3021.764
628.9948	2813.964
636.9119	2700.064
644.8082	2584.464
652.684	2486.739
660.5391	2404.939
668.3739	2376.664
676.1883	2375.164
683.9825	2451.439
691.7567	2608.214
699.5107	2767.689
707.2449	3037.564
714.9593	3318.439
722.654	3509.514
730.3291	3429.089
737.9847	3193.689
745.6209	3038.414
753.2379	3004.889
760.8356	3054.064
768.4142	3026.914
775.9738	2899.339
783.5146	2824.014
791.0365	2970.664
798.5397	3470.264
806.0244	3988.764
813.4905	4464.739
820.9382	4919.089
828.3676	5767.339
835.7788	6523.739
843.1719	7095.689
850.5469	7195.064
857.9039	7265.214
865.2432	7448.314
872.5646	7332.814
879.8684	6980.339
887.1546	6546.764
894.4233	6031.364
901.6747	5676.614
908.9088	5574.339
916.1255	5410.689
923.3253	5132.814
930.5079	4893.814
937.6736	4797.764
944.8224	4680.464
951.9545	4575.214
959.0698	4712.789
966.1686	4959.264
973.2508	4658.814
980.3167	4011.189
987.3661	3556.414
994.3993	3525.664
1001.416	3768.089
1008.417	4070.514
1015.402	4346.939
1022.371	4434.014
1029.324	4488.514
1036.261	4562.439
1043.183	4633.964
1050.089	4932.989
1056.98	5856.764
1063.855	6490.889
1070.714	6943.114
1077.559	7224.514
1084.388	6787.089
1091.202	5686.589
1098.001	4304.639
1104.785	3642.314
1111.554	3550.364
1118.308	3421.289
1125.048	2807.814
1131.773	2308.289
1138.483	2091.264
1145.179	2003.739
1151.86	1911.514
1158.527	1888.814
1165.18	1930.564
1171.818	1954.639
1178.442	1968.239
1185.053	2011.764
1191.649	2092.414
1198.231	2143.014
1204.799	2190.614
1211.354	2300.664
1217.895	2523.864
1224.422	2804.639
1230.936	3247.814
1237.436	3803.389
1243.922	4707.339
1250.396	5932.889
1256.856	7383.589
1263.302	8158.439
1269.736	8115.6138
1276.157	7580.939
1282.564	7477.739
1288.959	8801.639
1295.34	11333.816
1301.709	12135.314
1308.065	10290.464
1314.408	7976.739
1320.739	6112.264
1327.057	4676.989
1333.363	3672.114
1339.656	3232.389
1345.937	3028.014
1352.205	2883.389
1358.462	2841.114
1364.706	2816.164
1370.938	2603.339
1377.158	2295.789
1383.366	2099.414
1389.562	2131.414
1395.746	2456.314
1401.918	2798.989
1408.079	3207.064
1414.227	4030.414
1420.365	5614.139
1426.49	9476.314
1432.605	15298.614
1438.707	18187.788
1444.799	16941.316
1450.879	14573.764
1456.948	12070.466
1463.005	9043.114
1469.052	6239.964
1475.087	4170.114
1481.111	2997.389
1487.124	2350.114
1493.127	1977.439
1499.118	1723.414
1505.099	1545.639
1511.069	1409.489
1517.028	1306.239
1522.977	1216.439
1528.915	1156.539
1534.842	1099.389
1540.76	1060.964
1546.666	1006.41408
1552.563	973.21436
1558.448	944.23926
1564.324	910.71426
1570.19	889.41426
1576.045	870.41426
1581.89	850.21426
1587.726	839.28926
1593.551	829.46426
1599.366	835.53926
1605.172	845.86426
1610.967	895.93926
1616.753	1019.36408
1622.529	1214.164
1628.296	1493.464
1634.052	2033.864
1639.8	3518.164
1645.537	6555.439
1651.266	9566.839
1656.984	8654.789
1662.694	4939.339
1668.394	2408.189
1674.085	1338.939
1679.766	996.01426
1685.439	844.68926
1691.102	783.56426
1696.756	745.66426
1702.401	715.56426
1708.038	696.76426
1713.665	710.58926
1719.283	783.66426
1724.893	968.46426
1730.494	1377.389
1736.086	1939.714
1741.669	2433.289
1747.244	2440.739
1752.81	1913.989
1758.367	1270.389
1763.916	805.66426
1769.457	605.13926
1774.989	534.23926
1780.513	493.86424
1786.028	454.13924
1791.535	445.26424
1797.034	432.68924
1802.525	419.31424
1808.007	403.18924
1813.481	394.91424
1818.948	388.48924
1824.406	378.81424
1829.856	375.33924
1835.299	372.43924
1840.733	349.96424
1846.16	352.76424
1851.579	346.48924
1856.99	353.73924
1862.393	350.81424
1867.789	359.41424
1873.177	353.51424
1878.557	331.31424
1883.93	327.11424
