	均值
63-40 40 20(1)_RBg	B:C的行上的统计信息
111.5196	-28.991415
120.9049	94.696085
130.2617	94.946085
139.59	99.8211
148.8902	120.1336
158.1623	162.1336
167.4065	380.0086
176.623	1179.071
185.8118	3943.0085
194.9732	7691.8835
204.1073	13030.885
213.2142	15720.7
222.2941	16778.82
231.3471	16240.32
240.3733	15268.945
249.373	14659.385
258.3463	14172.2
267.2932	13719.7
276.2139	13038.325
285.1086	12396.075
293.9775	11581.135
302.8206	11025.7
311.638	10486.26
320.43	10078.82
329.1967	9702.321
337.9381	9485.571
346.6545	9251.7585
355.3459	9065.321
364.0125	8926.7585
372.6544	8765.821
381.2718	8496.946
389.8647	8399.3835
398.4334	8394.071
406.9779	8225.6335
415.4984	7970.2585
423.9949	7814.1335
432.4677	7586.821
440.9168	7364.696
449.3424	7153.071
457.7446	6987.571
466.1235	6809.946
474.4792	6680.1335
482.8119	6549.696
491.1217	6419.196
499.4087	6235.7585
507.6729	6054.1335
515.9147	5793.696
524.134	5521.946
532.3309	5176.321
540.5057	4924.196
548.6583	4672.571
556.789	4594.446
564.8978	4609.571
572.9849	4711.5085
581.0503	4914.2585
589.0942	5061.6335
597.1167	5182.446
605.1179	5009.321
613.0979	4553.696
621.0568	4195.696
628.9948	3876.196
636.9119	3722.6335
644.8082	3555.321
652.684	3411.321
660.5391	3295.946
668.3739	3270.946
676.1883	3320.196
683.9825	3444.8835
691.7567	3708.321
699.5107	3936.3835
707.2449	4323.321
714.9593	4615.3835
722.654	4797.2585
730.3291	4621.696
737.9847	4182.821
745.6209	3881.8835
753.2379	3739.0085
760.8356	3750.3835
768.4142	3748.5085
775.9738	3627.3835
783.5146	3470.6335
791.0365	3527.1335
798.5397	3886.321
806.0244	4305.946
813.4905	4926.1335
820.9382	5756.321
828.3676	7188.5085
835.7788	8168.571
843.1719	8614.6335
850.5469	8485.321
857.9039	8568.696
865.2432	8913.946
872.5646	8854.8835
879.8684	8399.946
887.1546	7866.696
894.4233	7460.7585
901.6747	7346.696
908.9088	7381.321
916.1255	7175.071
923.3253	6844.196
930.5079	6601.196
937.6736	6577.0085
944.8224	6544.446
951.9545	6496.1335
959.0698	6774.321
966.1686	7176.5085
973.2508	6758.7585
980.3167	5620.571
987.3661	4646.8835
994.3993	4411.321
1001.416	4509.196
1008.417	4741.946
1015.402	5035.2585
1022.371	5155.8835
1029.324	5173.7585
1036.261	5232.821
1043.183	5318.5085
1050.089	5665.2585
1056.98	6771.7585
1063.855	7603.821
1070.714	8122.2585
1077.559	8246.571
1084.388	7712.5085
1091.202	6674.2585
1098.001	5454.1335
1104.785	4828.821
1111.554	4414.321
1118.308	3999.1335
1125.048	3333.8835
1131.773	2828.3835
1138.483	2560.0085
1145.179	2464.2585
1151.86	2404.3835
1158.527	2389.5085
1165.18	2416.8835
1171.818	2469.1335
1178.442	2556.196
1185.053	2651.821
1191.649	2770.7585
1198.231	2855.3835
1204.799	3008.946
1211.354	3251.571
1217.895	3553.6335
1224.422	3859.0085
1230.936	4396.821
1237.436	5233.696
1243.922	6879.2585
1250.396	8985.2585
1256.856	11322.445
1263.302	12335.07
1269.736	11939.635
1276.157	10739.885
1282.564	9935.821
1288.959	10903.76
1295.34	13572.32
1301.709	14349.76
1308.065	12138.635
1314.408	9589.321
1320.739	7451.1335
1327.057	5817.196
1333.363	4600.7585
1339.656	4102.321
1345.937	3859.196
1352.205	3683.6335
1358.462	3636.196
1364.706	3603.3835
1370.938	3362.446
1377.158	3044.696
1383.366	2848.8835
1389.562	3000.821
1395.746	3446.696
1401.918	3748.8835
1408.079	4179.5085
1414.227	5214.946
1420.365	7109.446
1426.49	11464.325
1432.605	18165.135
1438.707	21547.195
1444.799	20083.01
1450.879	17366.945
1456.948	14438.075
1463.005	10961.385
1469.052	7582.196
1475.087	5189.0085
1481.111	3763.571
1487.124	3015.2585
1493.127	2554.571
1499.118	2258.696
1505.099	2041.2585
1511.069	1886.821
1517.028	1756.6335
1522.977	1653.7585
1528.915	1585.321
1534.842	1509.196
1540.76	1442.446
1546.666	1389.5085
1552.563	1347.0085
1558.448	1310.0085
1564.324	1275.196
1570.19	1258.0085
1576.045	1237.3835
1581.89	1221.071
1587.726	1221.3835
1593.551	1228.1335
1599.366	1244.196
1605.172	1273.6335
1610.967	1361.446
1616.753	1576.696
1622.529	1851.5085
1628.296	2302.7585
1634.052	3132.446
1639.8	5081.196
1645.537	9089.946
1651.266	14016.195
1656.984	14250.885
1662.694	9174.3835
1668.394	4571.321
1674.085	2373.2585
1679.766	1627.946
1685.439	1304.071
1691.102	1162.071
1696.756	1096.1335
1702.401	1048.196
1708.038	1000.3835
1713.665	1009.446
1719.283	1082.3835
1724.893	1303.946
1730.494	1819.071
1736.086	2539.2585
1741.669	3149.0085
1747.244	3141.696
1752.81	2457.321
1758.367	1625.946
1763.916	1058.696
1769.457	826.3836
1774.989	722.5711
1780.513	680.7586
1786.028	629.8211
1791.535	598.9461
1797.034	590.1336
1802.525	586.6961
1808.007	567.1336
1813.481	549.3211
1818.948	536.3836
1824.406	536.8211
1829.856	519.7586
1835.299	513.6961
1840.733	493.4461
1846.16	485.9461
1851.579	485.8836
1856.99	474.6961
1862.393	463.1961
1867.789	471.6336
1873.177	455.4461
1878.557	437.3211
1883.93	423.3211
