	¾ùÖµ
71-10 60 30(1)_RBg	71-10 60 30(1)_RBg
111.5196	-25.10097
120.9049	71.52403
130.2617	86.02403
139.59	86.02403
148.8902	105.461505
158.1623	151.0865
167.4065	391.64905
176.623	1195.899
185.8118	4108.274
194.9732	7942.7115
204.1073	13524.21
213.2142	16284.465
222.2941	17448.025
231.3471	16965.335
240.3733	16028.9
249.373	15443.585
258.3463	14995.21
267.2932	14574.965
276.2139	13903.275
285.1086	13260.215
293.9775	12446.84
302.8206	11888.46
311.638	11332.715
320.43	10941.9
329.1967	10572.775
337.9381	10378.525
346.6545	10145.338
355.3459	9929.4605
364.0125	9750.5865
372.6544	9560.649
381.2718	9285.399
389.8647	9165.274
398.4334	9161.4615
406.9779	8974.3365
415.4984	8671.5865
423.9949	8488.8365
432.4677	8232.8365
440.9168	8004.4615
449.3424	7776.8365
457.7446	7582.7115
466.1235	7403.524
474.4792	7265.5865
482.8119	7100.2115
491.1217	6959.149
499.4087	6777.5865
507.6729	6579.274
515.9147	6329.2115
524.134	6040.7115
532.3309	5714.9615
540.5057	5449.8365
548.6583	5188.7115
556.789	5083.774
564.8978	5088.0865
572.9849	5164.5865
581.0503	5334.149
589.0942	5462.149
597.1167	5567.7115
605.1179	5382.3365
613.0979	4953.149
621.0568	4628.0865
628.9948	4316.3365
636.9119	4147.024
644.8082	3962.399
652.684	3826.0865
660.5391	3699.649
668.3739	3655.899
676.1883	3668.4615
683.9825	3762.4615
691.7567	3976.5865
699.5107	4176.649
707.2449	4489.274
714.9593	4748.899
722.654	4928.2115
730.3291	4761.7115
737.9847	4372.4615
745.6209	4113.0865
753.2379	3972.399
760.8356	3988.524
768.4142	3970.3365
775.9738	3834.274
783.5146	3675.4615
791.0365	3737.7115
798.5397	4095.8365
806.0244	4505.274
813.4905	5068.3365
820.9382	5761.9615
828.3676	7047.4615
835.7788	7912.0865
843.1719	8343.399
850.5469	8217.5865
857.9039	8223.899
865.2432	8478.899
872.5646	8461.774
879.8684	8095.649
887.1546	7584.9615
894.4233	7198.4615
901.6747	7052.8365
908.9088	7032.9615
916.1255	6841.5865
923.3253	6530.024
930.5079	6272.4615
937.6736	6243.3365
944.8224	6197.774
951.9545	6142.649
959.0698	6376.149
966.1686	6689.7115
973.2508	6296.149
980.3167	5373.524
987.3661	4516.024
994.3993	4331.149
1001.416	4478.3365
1008.417	4683.2115
1015.402	4961.2115
1022.371	5061.9615
1029.324	5079.0865
1036.261	5159.5865
1043.183	5233.0865
1050.089	5534.2115
1056.98	6578.649
1063.855	7285.4615
1070.714	7766.399
1077.559	7916.4615
1084.388	7419.649
1091.202	6418.0865
1098.001	5258.4615
1104.785	4647.274
1111.554	4328.5865
1118.308	3998.899
1125.048	3363.7115
1131.773	2874.774
1138.483	2647.024
1145.179	2558.274
1151.86	2480.7115
1158.527	2482.274
1165.18	2514.149
1171.818	2569.024
1178.442	2662.274
1185.053	2739.524
1191.649	2832.5865
1198.231	2912.774
1204.799	3049.7115
1211.354	3260.149
1217.895	3536.774
1224.422	3811.4615
1230.936	4308.0865
1237.436	5012.3365
1243.922	6429.4615
1250.396	8223.8365
1256.856	10224.8355
1263.302	11116.34
1269.736	10851.585
1276.157	9916.273
1282.564	9338.2115
1288.959	10353.09
1295.34	12916.465
1301.709	13640.715
1308.065	11576.275
1314.408	9289.524
1320.739	7245.149
1327.057	5768.774
1333.363	4629.774
1339.656	4197.524
1345.937	3950.0865
1352.205	3777.2115
1358.462	3738.8365
1364.706	3702.0865
1370.938	3479.399
1377.158	3196.8365
1383.366	2988.149
1389.562	3103.5865
1395.746	3515.0865
1401.918	3782.9615
1408.079	4185.649
1414.227	5100.0865
1420.365	6930.4615
1426.49	10820.4
1432.605	17214.15
1438.707	20218.215
1444.799	18847.59
1450.879	16415.275
1456.948	13619.15
1463.005	10559.46
1469.052	7322.3365
1475.087	5175.524
1481.111	3786.3365
1487.124	3108.024
1493.127	2669.4615
1499.118	2418.0865
1505.099	2217.899
1511.069	2051.899
1517.028	1940.899
1522.977	1861.149
1528.915	1779.274
1534.842	1711.0865
1540.76	1645.3365
1546.666	1584.5865
1552.563	1547.649
1558.448	1518.7115
1564.324	1474.0865
1570.19	1434.9615
1576.045	1415.5865
1581.89	1403.024
1587.726	1392.0865
1593.551	1408.274
1599.366	1429.274
1605.172	1445.899
1610.967	1507.5865
1616.753	1665.774
1622.529	1952.899
1628.296	2369.524
1634.052	3136.149
1639.8	4819.899
1645.537	8454.524
1651.266	12521.15
1656.984	12483.275
1662.694	8121.899
1668.394	4117.024
1674.085	2340.4615
1679.766	1665.524
1685.439	1393.149
1691.102	1274.274
1696.756	1210.524
1702.401	1172.899
1708.038	1109.5865
1713.665	1108.899
1719.283	1189.274
1724.893	1405.649
1730.494	1854.399
1736.086	2516.0865
1741.669	3040.3365
1747.244	3046.024
1752.81	2430.524
1758.367	1660.774
1763.916	1169.524
1769.457	930.899
1774.989	831.5865
1780.513	780.8365
1786.028	732.649
1791.535	702.274
1797.034	704.4615
1802.525	688.0865
1808.007	669.024
1813.481	638.149
1818.948	620.0865
1824.406	627.3365
1829.856	614.524
1835.299	607.774
1840.733	586.3365
1846.16	565.024
1851.579	553.274
1856.99	547.0865
1862.393	535.524
1867.789	544.649
1873.177	531.4615
1878.557	518.274
1883.93	514.524
