均值	均值
77-0 80 20(1)_RBg	77-0 80 20(1)_RBg
-14.6505305	-9.5196675
87.974475	70.41783
87.599475	80.792835
90.036955	91.667835
119.41195	114.7928
164.84945	152.2928
409.72445	409.3553
1204.662	1254.48
4086.8495	4271.9175
7982.162	8359.043
13459.85	14102.36
16291.1	17047.73
17490.415	18255.67
17022.85	17764.855
16118.85	16848.545
15562.35	16234.735
15147.225	15798.045
14759.975	15401.23
14158.475	14759.67
13552.41	14137.855
12789.1	13341.355
12234.725	12771.36
11753.54	12243.23
11348.35	11836.17
11008.04	11452.295
10790.475	11232.295
10535.165	10969.98
10313.415	10754.985
10121.16	10566.485
9921.349	10365.11
9666.0365	10080.61
9535.6615	9951.543
9465.6615	9885.2305
9270.7865	9667.1055
8993.474	9367.6055
8788.974	9182.9805
8524.2865	8925.9805
8267.5365	8676.293
8043.912	8425.6055
7844.412	8204.668
7663.037	8004.7925
7495.0995	7836.6675
7350.412	7670.355
7199.912	7501.1675
6991.287	7287.7925
6785.0995	7070.0425
6549.2245	6820.4175
6267.5995	6510.2925
5954.037	6187.48
5682.912	5929.7925
5437.912	5678.605
5326.2245	5551.0425
5303.037	5517.855
5371.662	5584.605
5490.537	5718.105
5585.8495	5810.1675
5643.912	5903.9175
5476.9745	5714.5425
5087.5995	5290.1675
4761.662	4943.73
4493.537	4635.98
4296.162	4455.1675
4127.7245	4277.98
3960.662	4110.9175
3829.787	3979.5425
3777.9745	3917.0425
3795.912	3917.23
3884.162	4017.105
4041.162	4228.98
4230.162	4450.5425
4471.662	4738.1675
4726.4745	4995.7925
4845.162	5141.105
4686.0995	4942.855
4337.787	4531.48
4054.4745	4237.23
3946.037	4103.855
3947.912	4135.4175
3917.787	4113.355
3781.4745	3956.105
3634.3495	3783.48
3664.037	3809.48
3933.8495	4089.73
4317.7245	4432.23
4778.2245	4968.6675
5484.912	5723.6675
6570.162	7040.2925
7419.287	7912.73
7748.662	8278.793
7605.7245	8088.23
7550.162	8041.5425
7803.0995	8305.8555
7821.537	8333.418
7475.787	7982.355
7062.787	7513.9175
6690.537	7171.4175
6586.7245	7095.23
6588.537	7108.4175
6423.537	6913.5425
6095.912	6593.73
5904.2245	6363.2925
5868.662	6343.0425
5828.537	6343.5425
5793.0995	6325.0425
5985.4745	6558.5425
6303.2245	6893.6675
5971.8495	6495.9175
5026.787	5502.5425
4307.0995	4621.605
4091.7245	4382.855
4187.287	4443.23
4380.787	4632.2925
4586.7245	4882.6675
4685.787	4993.855
4707.5995	5013.0425
4775.037	5085.105
4828.0995	5138.98
5117.412	5427.9175
5936.7245	6402.5425
6680.3495	7149.105
7058.037	7604.0425
7190.287	7708.355
6776.662	7234.355
5830.537	6314.355
4918.412	5289.5425
4340.537	4740.98
4063.8495	4360.5425
3704.9745	3968.605
3187.162	3371.6675
2722.287	2920.105
2527.912	2708.355
2462.3495	2630.105
2416.9745	2551.4175
2406.162	2540.9175
2439.2245	2588.0425
2494.2245	2642.1675
2577.787	2737.105
2669.287	2853.355
2760.5995	2949.23
2851.662	3018.5425
2971.662	3185.9175
3200.0995	3409.2925
3425.287	3675.48
3697.5995	3948.9175
4103.4745	4426.0425
4816.2245	5169.4175
5989.4745	6608.7925
7819.412	8533.4805
9451.474	10541.295
10343.785	11447.045
10091.35	11134.545
9144.2865	10094.545
8687.849	9408.293
9644.0365	10290.48
11671.6	12582.61
12448.165	13295.795
10743.535	11334.36
8438.599	9058.7305
6839.7245	7241.855
5365.7245	5736.5425
4466.0995	4698.1675
4012.537	4284.4175
3816.7245	4044.4175
3671.2245	3871.7925
3622.5995	3830.4175
3580.412	3797.6675
3409.412	3575.73
3112.162	3278.73
2960.662	3115.855
3081.912	3257.9175
3427.287	3644.0425
3686.912	3905.23
4019.3495	4284.105
4897.537	5169.48
6375.037	6863.48
10150.0375	10705.23
15421.415	16675.04
18400.1	19667.295
17190.475	18328.165
14795.1	15914.67
12519.85	13314.545
9492.849	10274.795
6950.287	7256.7925
4776.287	5140.98
3704.3495	3861.2925
3014.2245	3192.73
2675.2245	2790.7925
2419.4745	2521.355
2241.9745	2328.105
2083.162	2190.0425
1998.0995	2063.855
1904.3495	1968.7925
1820.2245	1884.605
1763.3495	1818.73
1714.5995	1762.5425
1664.037	1708.105
1619.162	1673.73
1570.662	1627.105
1540.662	1598.4175
1520.7245	1557.23
1498.8495	1509.2925
1480.287	1509.605
1481.787	1531.73
1490.287	1544.9175
1499.412	1551.105
1519.7245	1570.1675
1569.7245	1635.855
1724.912	1802.105
1976.8495	2109.7925
2425.2245	2547.23
3069.0995	3337.855
4680.7245	4956.1675
7600.662	8517.668
11721.91	12696.36
11675.29	12968.73
7350.0995	8649.918
4128.287	4438.98
2260.037	2525.0425
1699.4745	1796.1675
1411.5995	1510.855
1320.037	1361.6675
1247.537	1301.0425
1195.537	1248.48
1163.412	1207.23
1167.287	1204.23
1213.912	1266.73
1400.912	1465.23
1837.537	1900.5425
2364.8495	2540.23
2872.9745	3044.7925
2850.912	3039.605
2269.287	2452.855
1645.912	1672.4175
1135.8495	1189.23
963.66195	974.91765
870.97445	892.6053
833.84945	833.4178
804.28695	800.2928
766.72445	786.4178
747.16195	761.2928
730.47445	739.7303
711.47445	738.7928
690.59945	703.1678
662.03695	690.2928
649.59945	673.4803
644.34945	657.2303
635.09945	644.0428
610.16195	632.7928
600.53695	624.0428
588.78695	617.5428
597.09945	592.7928
563.91195	583.1053
576.59945	556.1053
567.66195	547.2928
536.59945	536.8553
525.78695	541.2928
