	¾ùÖµ
9-2.5 5 92.5(1)_RBg	9-2.5 5 92.5(1)_RBg
111.5196	-37.71745
120.9049	80.432546
130.2617	90.357552
139.59	99.43255
148.8902	116.882556
158.1623	139.257554
167.4065	264.80756
176.623	700.68256
185.8118	2297.2324
194.9732	4452.4572
204.1073	7594.6572
213.2142	9152.0828
222.2941	9819.2332
231.3471	9538.3328
240.3733	9004.3328
249.373	8664.0828
258.3463	8341.3578
267.2932	8039.3324
276.2139	7566.6322
285.1086	7155.1572
293.9775	6663.7572
302.8206	6326.8322
311.638	5980.0322
320.43	5729.6572
329.1967	5512.1572
337.9381	5427.6322
346.6545	5344.3072
355.3459	5222.0822
364.0125	5088.4322
372.6544	4995.4072
381.2718	4880.6572
389.8647	4845.1072
398.4334	4851.6072
406.9779	4784.3572
415.4984	4640.3822
423.9949	4521.3822
432.4677	4369.9322
440.9168	4248.8322
449.3424	4135.5822
457.7446	4057.4822
466.1235	3984.5324
474.4792	3932.9574
482.8119	3874.3824
491.1217	3802.4574
499.4087	3710.7824
507.6729	3610.3324
515.9147	3464.4324
524.134	3310.1824
532.3309	3109.2824
540.5057	2950.7324
548.6583	2770.9574
556.789	2689.5324
564.8978	2702.8824
572.9849	2804.4574
581.0503	2965.8574
589.0942	3071.8324
597.1167	3146.5324
605.1179	3032.9324
613.0979	2781.3824
621.0568	2596.7574
628.9948	2424.4074
636.9119	2344.6574
644.8082	2243.4574
652.684	2168.1074
660.5391	2088.1574
668.3739	2048.8824
676.1883	2057.2824
683.9825	2105.9074
691.7567	2210.6324
699.5107	2314.9074
707.2449	2508.4824
714.9593	2684.6574
722.654	2820.0324
730.3291	2757.0824
737.9847	2591.9324
745.6209	2489.1324
753.2379	2457.5574
760.8356	2478.6324
768.4142	2443.1324
775.9738	2351.6824
783.5146	2288.0074
791.0365	2394.3324
798.5397	2756.2074
806.0244	3100.2324
813.4905	3464.0074
820.9382	3763.9574
828.3676	4395.1072
835.7788	4899.9822
843.1719	5329.3322
850.5469	5391.0072
857.9039	5439.4072
865.2432	5551.2322
872.5646	5456.7072
879.8684	5213.1072
887.1546	4886.0572
894.4233	4530.1072
901.6747	4257.2572
908.9088	4194.3572
916.1255	4062.7822
923.3253	3869.2574
930.5079	3688.2324
937.6736	3616.2824
944.8224	3525.8324
951.9545	3452.7824
959.0698	3553.8574
966.1686	3725.1574
973.2508	3524.8574
980.3167	3059.4824
987.3661	2715.4074
994.3993	2693.2824
1001.416	2861.5324
1008.417	3079.3574
1015.402	3277.9074
1022.371	3334.0324
1029.324	3377.3324
1036.261	3425.6574
1043.183	3474.7324
1050.089	3694.9074
1056.98	4360.6572
1063.855	4814.8572
1070.714	5130.8822
1077.559	5331.2572
1084.388	5019.7322
1091.202	4221.1322
1098.001	3238.8074
1104.785	2757.9324
1111.554	2691.3824
1118.308	2597.7074
1125.048	2160.6824
1131.773	1789.4824
1138.483	1624.1574
1145.179	1566.2574
1151.86	1499.7074
1158.527	1485.8574
1165.18	1512.7824
1171.818	1525.4074
1178.442	1535.6824
1185.053	1567.1574
1191.649	1628.9324
1198.231	1659.3824
1204.799	1689.0824
1211.354	1764.8824
1217.895	1929.5324
1224.422	2131.8074
1230.936	2437.9324
1237.436	2828.2574
1243.922	3486.1324
1250.396	4372.4322
1256.856	5408.8322
1263.302	5942.6072
1269.736	5922.1072
1276.157	5550.4072
1282.564	5488.9572
1288.959	6425.6822
1295.34	8300.0328
1301.709	8850.5828
1308.065	7489.6822
1314.408	5866.7572
1320.739	4481.1322
1327.057	3468.4574
1333.363	2720.1324
1339.656	2425.0574
1345.937	2273.0574
1352.205	2173.3324
1358.462	2139.8074
1364.706	2115.8574
1370.938	1964.1074
1377.158	1743.7324
1383.366	1599.6824
1389.562	1625.8574
1395.746	1865.4824
1401.918	2110.4824
1408.079	2409.0324
1414.227	2973.9074
1420.365	4146.6572
1426.49	6873.4822
1432.605	11201.53
1438.707	13197.806
1444.799	12269.882
1450.879	10635.358
1456.948	8741.0578
1463.005	6647.8572
1469.052	4524.8822
1475.087	3117.7824
1481.111	2227.3324
1487.124	1785.8574
1493.127	1504.5074
1499.118	1332.2824
1505.099	1192.9824
1511.069	1101.0324
1517.028	1030.58242
1522.977	969.38262
1528.915	914.53256
1534.842	874.38256
1540.76	845.05756
1546.666	813.75756
1552.563	784.65756
1558.448	762.23256
1564.324	726.13256
1570.19	714.80756
1576.045	700.80756
1581.89	683.63256
1587.726	683.98256
1593.551	683.60756
1599.366	677.70756
1605.172	683.68256
1610.967	728.58256
1616.753	810.58256
1622.529	955.88262
1628.296	1153.7074
1634.052	1559.5324
1639.8	2579.9574
1645.537	4876.7322
1651.266	6919.9322
1656.984	6224.3822
1662.694	3656.5324
1668.394	1761.7074
1674.085	1037.28242
1679.766	780.08256
1685.439	674.33256
1691.102	632.30756
1696.756	602.33256
1702.401	579.53256
1708.038	573.35756
1713.665	572.63256
1719.283	621.15756
1724.893	766.93256
1730.494	1051.70742
1736.086	1463.9574
1741.669	1806.9574
1747.244	1813.5574
1752.81	1436.2824
1758.367	969.23262
1763.916	643.83256
1769.457	510.90756
1774.989	441.23256
1780.513	412.85756
1786.028	395.13256
1791.535	382.90756
1797.034	371.18256
1802.525	363.20756
1808.007	355.45756
1813.481	346.35756
1818.948	342.83256
1824.406	331.43256
1829.856	324.40756
1835.299	324.83256
1840.733	324.00756
1846.16	311.20756
1851.579	316.18256
1856.99	315.78256
1862.393	303.48256
1867.789	308.98256
1873.177	302.70756
1878.557	288.18256
1883.93	286.43256
