,index,value
0,111.5196,-2.97288933333333
1,120.9049,52.52711
2,130.2617,65.8187766666667
3,139.59,72.0687766666667
4,148.8902,92.31876
5,158.1623,135.360466666667
6,167.4065,351.527133333333
7,176.623,1088.902
8,185.8118,3809.81866666667
9,194.9732,7446.69366666667
10,204.1073,12742.65
11,213.2142,15339.4033333333
12,222.2941,16410.15
13,231.3471,15923.2333333333
14,240.3733,14992.2333333333
15,249.373,14388.6933333333
16,258.3463,13836.5233333333
17,267.2932,13342.1933333333
18,276.2139,12564.5266666667
19,285.1086,11897.8566666667
20,293.9775,11036.57
21,302.8206,10459.82
22,311.638,9899.73566666667
23,320.43,9489.48566666667
24,329.1967,9104.11066666667
25,337.9381,8926.90233333334
26,346.6545,8743.86066666667
27,355.3459,8555.444
28,364.0125,8356.15233333334
29,372.6544,8194.527
30,381.2718,7989.31866666667
31,389.8647,7918.027
32,398.4334,7915.81866666667
33,406.9779,7759.777
34,415.4984,7506.31866666667
35,423.9949,7320.56866666667
36,432.4677,7050.402
37,440.9168,6837.902
38,449.3424,6654.73533333333
39,457.7446,6506.36033333333
40,466.1235,6384.61033333333
41,474.4792,6273.86033333333
42,482.8119,6159.36033333333
43,491.1217,6036.277
44,499.4087,5875.19366666667
45,507.6729,5697.652
46,515.9147,5473.152
47,524.134,5221.027
48,532.3309,4878.86033333333
49,540.5057,4615.11033333333
50,548.6583,4340.19366666667
51,556.789,4223.36033333333
52,564.8978,4243.777
53,572.9849,4404.527
54,581.0503,4672.94366666667
55,589.0942,4848.31866666667
56,597.1167,4983.402
57,605.1179,4809.94366666667
58,613.0979,4382.277
59,621.0568,4052.652
60,628.9948,3724.69366666667
61,636.9119,3589.36033333333
62,644.8082,3438.69366666667
63,652.684,3290.11033333333
64,660.5391,3181.94366666667
65,668.3739,3149.19366666667
66,676.1883,3175.06866666667
67,683.9825,3279.652
68,691.7567,3507.902
69,699.5107,3723.277
70,707.2449,4078.902
71,714.9593,4396.48533333333
72,722.654,4629.69366666667
73,730.3291,4505.44366666667
74,737.9847,4142.36033333333
75,745.6209,3923.652
76,753.2379,3849.31866666667
77,760.8356,3886.56866666667
78,768.4142,3840.402
79,775.9738,3710.277
80,783.5146,3625.152
81,791.0365,3754.402
82,798.5397,4268.61033333333
83,806.0244,4830.652
84,813.4905,5469.44366666667
85,820.9382,6138.56866666667
86,828.3676,7411.652
87,835.7788,8353.444
88,843.1719,8985.694
89,850.5469,9007.02733333334
90,857.9039,9098.15233333334
91,865.2432,9366.569
92,872.5646,9253.944
93,879.8684,8807.98566666667
94,887.1546,8251.52733333334
95,894.4233,7692.402
96,901.6747,7371.81866666667
97,908.9088,7320.402
98,916.1255,7100.44366666667
99,923.3253,6745.36033333333
100,930.5079,6469.152
101,937.6736,6376.11033333333
102,944.8224,6275.402
103,951.9545,6186.36033333333
104,959.0698,6420.19366666667
105,966.1686,6766.36033333333
106,973.2508,6380.73533333333
107,980.3167,5407.902
108,987.3661,4651.06866666667
109,994.3993,4543.36033333333
110,1001.416,4775.98533333333
111,1008.417,5108.81866666667
112,1015.402,5450.94366666667
113,1022.371,5581.11033333333
114,1029.324,5636.277
115,1036.261,5723.94366666667
116,1043.183,5788.19366666667
117,1050.089,6183.402
118,1056.98,7347.19366666667
119,1063.855,8211.27733333334
120,1070.714,8761.444
121,1077.559,9048.98566666667
122,1084.388,8502.27733333334
123,1091.202,7179.027
124,1098.001,5652.06866666667
125,1104.785,4840.23533333333
126,1111.554,4614.98533333333
127,1118.308,4326.31866666667
128,1125.048,3595.48533333333
129,1131.773,2955.86033333333
130,1138.483,2690.23533333333
131,1145.179,2584.36033333333
132,1151.86,2485.652
133,1158.527,2457.777
134,1165.18,2499.56866666667
135,1171.818,2550.027
136,1178.442,2580.81866666667
137,1185.053,2656.56866666667
138,1191.649,2774.61033333333
139,1198.231,2858.23533333333
140,1204.799,2960.027
141,1211.354,3129.402
142,1217.895,3394.98533333333
143,1224.422,3753.94366666667
144,1230.936,4296.19366666667
145,1237.436,5093.652
146,1243.922,6389.06866666667
147,1250.396,8283.194
148,1256.856,10188.7766666667
149,1263.302,11276.61
150,1269.736,11095.65
151,1276.157,10145.61
152,1282.564,9778.90233333334
153,1288.959,11258.3566666667
154,1295.34,14139.6066666667
155,1301.709,15142.8166666667
156,1308.065,12902.11
157,1314.408,9973.31766666667
158,1320.739,7795.06866666667
159,1327.057,5919.98533333333
160,1333.363,4727.652
161,1339.656,4171.06866666667
162,1345.937,3926.73533333333
163,1352.205,3724.777
164,1358.462,3666.81866666667
165,1364.706,3631.06866666667
166,1370.938,3388.44366666667
167,1377.158,2999.652
168,1383.366,2779.98533333333
169,1389.562,2879.652
170,1395.746,3282.152
171,1401.918,3682.277
172,1408.079,4152.402
173,1414.227,5242.652
174,1420.365,7126.277
175,1426.49,12010.4833333333
176,1432.605,18875.4033333333
177,1438.707,22658.86
178,1444.799,21155.65
179,1450.879,18106.9433333333
180,1456.948,15137.0266666667
181,1463.005,11306.9433333333
182,1469.052,7927.11033333333
183,1475.087,5257.19366666667
184,1481.111,3860.36033333333
185,1487.124,3023.777
186,1493.127,2583.44366666667
187,1499.118,2260.36033333333
188,1505.099,2035.98533333333
189,1511.069,1837.61033333333
190,1517.028,1708.86033333333
191,1522.977,1618.152
192,1528.915,1533.402
193,1534.842,1449.56866666667
194,1540.76,1394.277
195,1546.666,1337.44366666667
196,1552.563,1291.36033333333
197,1558.448,1244.402
198,1564.324,1222.527
199,1570.19,1188.56866666667
200,1576.045,1156.81866666667
201,1581.89,1139.94366666667
202,1587.726,1149.44366666667
203,1593.551,1144.527
204,1599.366,1145.06866666667
205,1605.172,1175.94366666667
206,1610.967,1237.56866666667
207,1616.753,1406.48533333333
208,1622.529,1678.48533333333
209,1628.296,2092.48533333333
210,1634.052,2810.48533333333
211,1639.8,4783.69366666667
212,1645.537,8578.86066666667
213,1651.266,12959.2333333333
214,1656.984,12309.82
215,1662.694,7313.61033333333
216,1668.394,3719.777
217,1674.085,1957.31866666667
218,1679.766,1406.98533333333
219,1685.439,1150.61033333333
220,1691.102,1056.73533333333
221,1696.756,991.860466666667
222,1702.401,951.8605
223,1708.038,924.4855
224,1713.665,927.693833333334
225,1719.283,1020.4438
226,1724.893,1249.06866666667
227,1730.494,1791.19366666667
228,1736.086,2493.56866666667
229,1741.669,3146.73533333333
230,1747.244,3155.902
231,1752.81,2437.94366666667
232,1758.367,1620.902
233,1763.916,1006.61046666667
234,1769.457,783.443833333334
235,1774.989,661.402166666667
236,1780.513,622.693833333333
237,1786.028,587.693833333333
