,index,value
0,111.5196,-37.960752
1,120.9049,76.464246
2,130.2617,84.73925
3,139.59,89.96425
4,148.8902,99.139266
5,158.1623,133.93924
6,167.4065,304.53924
7,176.623,858.56426
8,185.8118,2883.489
9,194.9732,5674.714
10,204.1073,9707.014
11,213.2142,11716.414
12,222.2941,12515.19
13,231.3471,12124.414
14,240.3733,11419.016
15,249.373,10942.34
16,258.3463,10487.964
17,267.2932,10056.7386
18,276.2139,9434.614
19,285.1086,8857.564
20,293.9775,8194.414
21,302.8206,7718.964
22,311.638,7257.514
23,320.43,6927.364
24,329.1967,6648.414
25,337.9381,6525.614
26,346.6545,6408.414
27,355.3459,6265.214
28,364.0125,6098.414
29,372.6544,5967.239
30,381.2718,5815.814
31,389.8647,5768.489
32,398.4334,5792.639
33,406.9779,5703.864
34,415.4984,5523.789
35,423.9949,5363.089
36,432.4677,5161.589
37,440.9168,4990.889
38,449.3424,4863.064
39,457.7446,4766.589
40,466.1235,4687.564
41,474.4792,4614.464
42,482.8119,4550.139
43,491.1217,4462.739
44,499.4087,4352.064
45,507.6729,4230.064
46,515.9147,4071.564
47,524.134,3861.739
48,532.3309,3610.539
49,540.5057,3392.339
50,548.6583,3172.514
51,556.789,3059.114
52,564.8978,3090.289
53,572.9849,3257.889
54,581.0503,3492.539
55,589.0942,3655.589
56,597.1167,3757.539
57,605.1179,3611.589
58,613.0979,3288.289
59,621.0568,3021.764
60,628.9948,2813.964
61,636.9119,2700.064
62,644.8082,2584.464
63,652.684,2486.739
64,660.5391,2404.939
65,668.3739,2376.664
66,676.1883,2375.164
67,683.9825,2451.439
68,691.7567,2608.214
69,699.5107,2767.689
70,707.2449,3037.564
71,714.9593,3318.439
72,722.654,3509.514
73,730.3291,3429.089
74,737.9847,3193.689
75,745.6209,3038.414
76,753.2379,3004.889
77,760.8356,3054.064
78,768.4142,3026.914
79,775.9738,2899.339
80,783.5146,2824.014
81,791.0365,2970.664
82,798.5397,3470.264
83,806.0244,3988.764
84,813.4905,4464.739
85,820.9382,4919.089
86,828.3676,5767.339
87,835.7788,6523.739
88,843.1719,7095.689
89,850.5469,7195.064
90,857.9039,7265.214
91,865.2432,7448.314
92,872.5646,7332.814
93,879.8684,6980.339
94,887.1546,6546.764
95,894.4233,6031.364
96,901.6747,5676.614
97,908.9088,5574.339
98,916.1255,5410.689
99,923.3253,5132.814
100,930.5079,4893.814
101,937.6736,4797.764
102,944.8224,4680.464
103,951.9545,4575.214
104,959.0698,4712.789
105,966.1686,4959.264
106,973.2508,4658.814
107,980.3167,4011.189
108,987.3661,3556.414
109,994.3993,3525.664
110,1001.416,3768.089
111,1008.417,4070.514
112,1015.402,4346.939
113,1022.371,4434.014
114,1029.324,4488.514
115,1036.261,4562.439
116,1043.183,4633.964
117,1050.089,4932.989
118,1056.98,5856.764
119,1063.855,6490.889
120,1070.714,6943.114
121,1077.559,7224.514
122,1084.388,6787.089
123,1091.202,5686.589
124,1098.001,4304.639
125,1104.785,3642.314
126,1111.554,3550.364
127,1118.308,3421.289
128,1125.048,2807.814
129,1131.773,2308.289
130,1138.483,2091.264
131,1145.179,2003.739
132,1151.86,1911.514
133,1158.527,1888.814
134,1165.18,1930.564
135,1171.818,1954.639
136,1178.442,1968.239
137,1185.053,2011.764
138,1191.649,2092.414
139,1198.231,2143.014
140,1204.799,2190.614
141,1211.354,2300.664
142,1217.895,2523.864
143,1224.422,2804.639
144,1230.936,3247.814
145,1237.436,3803.389
146,1243.922,4707.339
147,1250.396,5932.889
148,1256.856,7383.589
149,1263.302,8158.439
150,1269.736,8115.6138
151,1276.157,7580.939
152,1282.564,7477.739
153,1288.959,8801.639
154,1295.34,11333.816
155,1301.709,12135.314
156,1308.065,10290.464
157,1314.408,7976.739
158,1320.739,6112.264
159,1327.057,4676.989
160,1333.363,3672.114
161,1339.656,3232.389
162,1345.937,3028.014
163,1352.205,2883.389
164,1358.462,2841.114
165,1364.706,2816.164
166,1370.938,2603.339
167,1377.158,2295.789
168,1383.366,2099.414
169,1389.562,2131.414
170,1395.746,2456.314
171,1401.918,2798.989
172,1408.079,3207.064
173,1414.227,4030.414
174,1420.365,5614.139
175,1426.49,9476.314
176,1432.605,15298.614
177,1438.707,18187.788
178,1444.799,16941.316
179,1450.879,14573.764
180,1456.948,12070.466
181,1463.005,9043.114
182,1469.052,6239.964
183,1475.087,4170.114
184,1481.111,2997.389
185,1487.124,2350.114
186,1493.127,1977.439
187,1499.118,1723.414
188,1505.099,1545.639
189,1511.069,1409.489
190,1517.028,1306.239
191,1522.977,1216.439
192,1528.915,1156.539
193,1534.842,1099.389
194,1540.76,1060.964
195,1546.666,1006.41408
196,1552.563,973.21436
197,1558.448,944.23926
198,1564.324,910.71426
199,1570.19,889.41426
200,1576.045,870.41426
201,1581.89,850.21426
202,1587.726,839.28926
203,1593.551,829.46426
204,1599.366,835.53926
205,1605.172,845.86426
206,1610.967,895.93926
207,1616.753,1019.36408
208,1622.529,1214.164
209,1628.296,1493.464
210,1634.052,2033.864
211,1639.8,3518.164
212,1645.537,6555.439
213,1651.266,9566.839
214,1656.984,8654.789
215,1662.694,4939.339
216,1668.394,2408.189
217,1674.085,1338.939
218,1679.766,996.01426
219,1685.439,844.68926
220,1691.102,783.56426
221,1696.756,745.66426
222,1702.401,715.56426
223,1708.038,696.76426
224,1713.665,710.58926
225,1719.283,783.66426
226,1724.893,968.46426
227,1730.494,1377.389
228,1736.086,1939.714
229,1741.669,2433.289
230,1747.244,2440.739
231,1752.81,1913.989
232,1758.367,1270.389
233,1763.916,805.66426
234,1769.457,605.13926
235,1774.989,534.23926
236,1780.513,493.86424
237,1786.028,454.13924
238,1791.535,445.26424
239,1797.034,432.68924
240,1802.525,419.31424
241,1808.007,403.18924
242,1813.481,394.91424
243,1818.948,388.48924
244,1824.406,378.81424
245,1829.856,375.33924
246,1835.299,372.43924
247,1840.733,349.96424
248,1846.16,352.76424
249,1851.579,346.48924
250,1856.99,353.73924
251,1862.393,350.81424
252,1867.789,359.41424
253,1873.177,353.51424
254,1878.557,331.31424
255,1883.93,327.11424
