,index,value
0,111.5196,-23.17762236
1,120.9049,58.94738
2,130.2617,60.972378
3,139.59,67.347378
4,148.8902,86.52237
5,158.1623,115.647374
6,167.4065,259.22238
7,176.623,720.49738
8,185.8118,2429.6974
9,194.9732,4760.0724
10,204.1073,8148.5474
11,213.2142,9825.0228
12,222.2941,10521.298
13,231.3471,10205.624
14,240.3733,9608.8222
15,249.373,9217.4972
16,258.3463,8853.4972
17,267.2932,8502.2222
18,276.2139,7980.5724
19,285.1086,7511.9474
20,293.9775,6959.3224
21,302.8206,6587.8974
22,311.638,6219.1224
23,320.43,5943.5474
24,329.1967,5692.6474
25,337.9381,5590.2974
26,346.6545,5497.6224
27,355.3459,5369.1224
28,364.0125,5216.4474
29,372.6544,5115.4724
30,381.2718,4995.2724
31,389.8647,4959.0224
32,398.4334,4955.0224
33,406.9779,4888.7724
34,415.4984,4737.6724
35,423.9949,4608.5474
36,432.4677,4447.9724
37,440.9168,4320.3474
38,449.3424,4206.3474
39,457.7446,4117.5974
40,466.1235,4034.2474
41,474.4792,3983.5724
42,482.8119,3931.6224
43,491.1217,3852.1724
44,499.4087,3742.2974
45,507.6729,3638.6724
46,515.9147,3505.2974
47,524.134,3343.7974
48,532.3309,3122.2974
49,540.5057,2946.1224
50,548.6583,2750.6974
51,556.789,2666.1224
52,564.8978,2674.0724
53,572.9849,2804.6724
54,581.0503,3008.1724
55,589.0942,3124.1224
56,597.1167,3200.4224
57,605.1179,3088.7724
58,613.0979,2811.9724
59,621.0568,2604.0474
60,628.9948,2425.8474
61,636.9119,2335.9724
62,644.8082,2227.4224
63,652.684,2149.7974
64,660.5391,2066.9974
65,668.3739,2036.4974
66,676.1883,2042.0724
67,683.9825,2097.6224
68,691.7567,2235.5974
69,699.5107,2374.1724
70,707.2449,2588.9224
71,714.9593,2790.3974
72,722.654,2950.3724
73,730.3291,2888.7724
74,737.9847,2679.0724
75,745.6209,2550.1474
76,753.2379,2514.1474
77,760.8356,2547.8724
78,768.4142,2524.0724
79,775.9738,2430.4474
80,783.5146,2374.7224
81,791.0365,2482.7724
82,798.5397,2860.4474
83,806.0244,3265.8224
84,813.4905,3666.2474
85,820.9382,4033.3224
86,828.3676,4755.7974
87,835.7788,5365.6974
88,843.1719,5824.5224
89,850.5469,5896.0474
90,857.9039,5953.6724
91,865.2432,6109.4474
92,872.5646,6014.8224
93,879.8684,5717.7224
94,887.1546,5354.4974
95,894.4233,4948.6974
96,901.6747,4684.2724
97,908.9088,4613.3224
98,916.1255,4467.8974
99,923.3253,4232.3724
100,930.5079,4043.7474
101,937.6736,3967.3724
102,944.8224,3881.6224
103,951.9545,3802.4224
104,959.0698,3911.9974
105,966.1686,4127.1724
106,973.2508,3885.3224
107,980.3167,3316.3724
108,987.3661,2926.1474
109,994.3993,2902.2974
110,1001.416,3095.1724
111,1008.417,3341.4224
112,1015.402,3551.0474
113,1022.371,3624.5724
114,1029.324,3665.9224
115,1036.261,3728.1224
116,1043.183,3792.3474
117,1050.089,4038.6224
118,1056.98,4777.0974
119,1063.855,5300.7474
120,1070.714,5660.6724
121,1077.559,5882.8474
122,1084.388,5536.3474
123,1091.202,4631.0474
124,1098.001,3556.7724
125,1104.785,2988.0974
126,1111.554,2899.8474
127,1118.308,2782.0474
128,1125.048,2305.0474
129,1131.773,1894.4224
130,1138.483,1717.0974
131,1145.179,1642.9224
132,1151.86,1574.8724
133,1158.527,1559.8974
134,1165.18,1591.7474
135,1171.818,1612.9974
136,1178.442,1622.8974
137,1185.053,1663.9724
138,1191.649,1729.5974
139,1198.231,1763.6474
140,1204.799,1810.3724
141,1211.354,1907.5974
142,1217.895,2083.5724
143,1224.422,2315.6224
144,1230.936,2656.8474
145,1237.436,3135.5974
146,1243.922,3884.8724
147,1250.396,4954.2974
148,1256.856,6108.9224
149,1263.302,6768.0474
150,1269.736,6728.1474
151,1276.157,6243.7224
152,1282.564,6134.8724
153,1288.959,7226.6974
154,1295.34,9264.6472
155,1301.709,9914.8978
156,1308.065,8427.5472
157,1314.408,6527.9724
158,1320.739,5012.7974
159,1327.057,3828.3974
160,1333.363,3019.8224
161,1339.656,2670.8724
162,1345.937,2501.2224
163,1352.205,2372.8724
164,1358.462,2331.2474
165,1364.706,2311.9224
166,1370.938,2140.5474
167,1377.158,1891.7474
168,1383.366,1734.1224
169,1389.562,1765.5724
170,1395.746,2040.8224
171,1401.918,2315.8474
172,1408.079,2645.7474
173,1414.227,3311.3724
174,1420.365,4610.9224
175,1426.49,7755.2474
176,1432.605,12548.924
177,1438.707,14897.2
178,1444.799,13847.798
179,1450.879,11936.324
180,1456.948,9857.4728
181,1463.005,7429.4474
182,1469.052,5074.0474
183,1475.087,3424.4724
184,1481.111,2442.4974
185,1487.124,1934.5974
186,1493.127,1626.2974
187,1499.118,1425.7974
188,1505.099,1279.6474
189,1511.069,1167.4724
190,1517.028,1086.1474
191,1522.977,1016.77244
192,1528.915,955.49738
193,1534.842,917.34738
194,1540.76,876.49738
195,1546.666,847.97238
196,1552.563,820.34738
197,1558.448,789.02238
198,1564.324,769.12238
199,1570.19,736.82238
200,1576.045,720.27238
201,1581.89,710.17238
202,1587.726,698.42238
203,1593.551,697.57238
204,1599.366,697.57238
205,1605.172,707.62238
206,1610.967,756.07238
207,1616.753,852.09738
208,1622.529,1008.1724
209,1628.296,1235.4974
210,1634.052,1688.4974
211,1639.8,2888.3974
212,1645.537,5468.7474
213,1651.266,7897.8724
214,1656.984,7199.5474
215,1662.694,4236.5224
216,1668.394,2013.9974
217,1674.085,1147.9724
218,1679.766,839.99738
219,1685.439,717.09738
220,1691.102,654.67238
221,1696.756,624.14738
222,1702.401,600.67238
223,1708.038,586.59738
224,1713.665,592.84738
225,1719.283,644.09738
226,1724.893,802.92238
227,1730.494,1128.3474
228,1736.086,1597.8974
229,1741.669,1994.2724
230,1747.244,2004.1474
231,1752.81,1576.1724
232,1758.367,1024.5225
233,1763.916,667.24738
234,1769.457,517.67238
235,1774.989,440.39738
236,1780.513,396.27238
237,1786.028,389.29738
238,1791.535,379.17238
239,1797.034,363.32238
240,1802.525,350.59738
241,1808.007,344.82238
242,1813.481,339.54738
243,1818.948,329.79738
244,1824.406,321.49738
245,1829.856,318.77238
246,1835.299,311.24738
247,1840.733,306.34738
248,1846.16,302.37238
249,1851.579,293.12238
250,1856.99,290.62238
251,1862.393,285.49738
252,1867.789,288.74738
253,1873.177,281.59738
254,1878.557,274.19738
255,1883.93,270.22238
