,index,value
0,111.5196,-37.71745
1,120.9049,80.432546
2,130.2617,90.357552
3,139.59,99.43255
4,148.8902,116.882556
5,158.1623,139.257554
6,167.4065,264.80756
7,176.623,700.68256
8,185.8118,2297.2324
9,194.9732,4452.4572
10,204.1073,7594.6572
11,213.2142,9152.0828
12,222.2941,9819.2332
13,231.3471,9538.3328
14,240.3733,9004.3328
15,249.373,8664.0828
16,258.3463,8341.3578
17,267.2932,8039.3324
18,276.2139,7566.6322
19,285.1086,7155.1572
20,293.9775,6663.7572
21,302.8206,6326.8322
22,311.638,5980.0322
23,320.43,5729.6572
24,329.1967,5512.1572
25,337.9381,5427.6322
26,346.6545,5344.3072
27,355.3459,5222.0822
28,364.0125,5088.4322
29,372.6544,4995.4072
30,381.2718,4880.6572
31,389.8647,4845.1072
32,398.4334,4851.6072
33,406.9779,4784.3572
34,415.4984,4640.3822
35,423.9949,4521.3822
36,432.4677,4369.9322
37,440.9168,4248.8322
38,449.3424,4135.5822
39,457.7446,4057.4822
40,466.1235,3984.5324
41,474.4792,3932.9574
42,482.8119,3874.3824
43,491.1217,3802.4574
44,499.4087,3710.7824
45,507.6729,3610.3324
46,515.9147,3464.4324
47,524.134,3310.1824
48,532.3309,3109.2824
49,540.5057,2950.7324
50,548.6583,2770.9574
51,556.789,2689.5324
52,564.8978,2702.8824
53,572.9849,2804.4574
54,581.0503,2965.8574
55,589.0942,3071.8324
56,597.1167,3146.5324
57,605.1179,3032.9324
58,613.0979,2781.3824
59,621.0568,2596.7574
60,628.9948,2424.4074
61,636.9119,2344.6574
62,644.8082,2243.4574
63,652.684,2168.1074
64,660.5391,2088.1574
65,668.3739,2048.8824
66,676.1883,2057.2824
67,683.9825,2105.9074
68,691.7567,2210.6324
69,699.5107,2314.9074
70,707.2449,2508.4824
71,714.9593,2684.6574
72,722.654,2820.0324
73,730.3291,2757.0824
74,737.9847,2591.9324
75,745.6209,2489.1324
76,753.2379,2457.5574
77,760.8356,2478.6324
78,768.4142,2443.1324
79,775.9738,2351.6824
80,783.5146,2288.0074
81,791.0365,2394.3324
82,798.5397,2756.2074
83,806.0244,3100.2324
84,813.4905,3464.0074
85,820.9382,3763.9574
86,828.3676,4395.1072
87,835.7788,4899.9822
88,843.1719,5329.3322
89,850.5469,5391.0072
90,857.9039,5439.4072
91,865.2432,5551.2322
92,872.5646,5456.7072
93,879.8684,5213.1072
94,887.1546,4886.0572
95,894.4233,4530.1072
96,901.6747,4257.2572
97,908.9088,4194.3572
98,916.1255,4062.7822
99,923.3253,3869.2574
100,930.5079,3688.2324
101,937.6736,3616.2824
102,944.8224,3525.8324
103,951.9545,3452.7824
104,959.0698,3553.8574
105,966.1686,3725.1574
106,973.2508,3524.8574
107,980.3167,3059.4824
108,987.3661,2715.4074
109,994.3993,2693.2824
110,1001.416,2861.5324
111,1008.417,3079.3574
112,1015.402,3277.9074
113,1022.371,3334.0324
114,1029.324,3377.3324
115,1036.261,3425.6574
116,1043.183,3474.7324
117,1050.089,3694.9074
118,1056.98,4360.6572
119,1063.855,4814.8572
120,1070.714,5130.8822
121,1077.559,5331.2572
122,1084.388,5019.7322
123,1091.202,4221.1322
124,1098.001,3238.8074
125,1104.785,2757.9324
126,1111.554,2691.3824
127,1118.308,2597.7074
128,1125.048,2160.6824
129,1131.773,1789.4824
130,1138.483,1624.1574
131,1145.179,1566.2574
132,1151.86,1499.7074
133,1158.527,1485.8574
134,1165.18,1512.7824
135,1171.818,1525.4074
136,1178.442,1535.6824
137,1185.053,1567.1574
138,1191.649,1628.9324
139,1198.231,1659.3824
140,1204.799,1689.0824
141,1211.354,1764.8824
142,1217.895,1929.5324
143,1224.422,2131.8074
144,1230.936,2437.9324
145,1237.436,2828.2574
146,1243.922,3486.1324
147,1250.396,4372.4322
148,1256.856,5408.8322
149,1263.302,5942.6072
150,1269.736,5922.1072
151,1276.157,5550.4072
152,1282.564,5488.9572
153,1288.959,6425.6822
154,1295.34,8300.0328
155,1301.709,8850.5828
156,1308.065,7489.6822
157,1314.408,5866.7572
158,1320.739,4481.1322
159,1327.057,3468.4574
160,1333.363,2720.1324
161,1339.656,2425.0574
162,1345.937,2273.0574
163,1352.205,2173.3324
164,1358.462,2139.8074
165,1364.706,2115.8574
166,1370.938,1964.1074
167,1377.158,1743.7324
168,1383.366,1599.6824
169,1389.562,1625.8574
170,1395.746,1865.4824
171,1401.918,2110.4824
172,1408.079,2409.0324
173,1414.227,2973.9074
174,1420.365,4146.6572
175,1426.49,6873.4822
176,1432.605,11201.53
177,1438.707,13197.806
178,1444.799,12269.882
179,1450.879,10635.358
180,1456.948,8741.0578
181,1463.005,6647.8572
182,1469.052,4524.8822
183,1475.087,3117.7824
184,1481.111,2227.3324
185,1487.124,1785.8574
186,1493.127,1504.5074
187,1499.118,1332.2824
188,1505.099,1192.9824
189,1511.069,1101.0324
190,1517.028,1030.58242
191,1522.977,969.38262
192,1528.915,914.53256
193,1534.842,874.38256
194,1540.76,845.05756
195,1546.666,813.75756
196,1552.563,784.65756
197,1558.448,762.23256
198,1564.324,726.13256
199,1570.19,714.80756
200,1576.045,700.80756
201,1581.89,683.63256
202,1587.726,683.98256
203,1593.551,683.60756
204,1599.366,677.70756
205,1605.172,683.68256
206,1610.967,728.58256
207,1616.753,810.58256
208,1622.529,955.88262
209,1628.296,1153.7074
210,1634.052,1559.5324
211,1639.8,2579.9574
212,1645.537,4876.7322
213,1651.266,6919.9322
214,1656.984,6224.3822
215,1662.694,3656.5324
216,1668.394,1761.7074
217,1674.085,1037.28242
218,1679.766,780.08256
219,1685.439,674.33256
220,1691.102,632.30756
221,1696.756,602.33256
222,1702.401,579.53256
223,1708.038,573.35756
224,1713.665,572.63256
225,1719.283,621.15756
226,1724.893,766.93256
227,1730.494,1051.70742
228,1736.086,1463.9574
229,1741.669,1806.9574
230,1747.244,1813.5574
231,1752.81,1436.2824
232,1758.367,969.23262
233,1763.916,643.83256
234,1769.457,510.90756
235,1774.989,441.23256
236,1780.513,412.85756
237,1786.028,395.13256
238,1791.535,382.90756
239,1797.034,371.18256
240,1802.525,363.20756
241,1808.007,355.45756
242,1813.481,346.35756
243,1818.948,342.83256
244,1824.406,331.43256
245,1829.856,324.40756
246,1835.299,324.83256
247,1840.733,324.00756
248,1846.16,311.20756
249,1851.579,316.18256
250,1856.99,315.78256
251,1862.393,303.48256
252,1867.789,308.98256
253,1873.177,302.70756
254,1878.557,288.18256
255,1883.93,286.43256
