	¾ùÖµ
1-2.5 0 97.5(1)_RBg	1-2.5 0 97.5(5)_RBg
111.5196	-4.4660874
120.9049	80.383908
130.2617	90.158908
139.59	96.308908
148.8902	113.733904
158.1623	139.583906
167.4065	305.5589
176.623	849.7339
185.8118	2807.7588
194.9732	5500.8838
204.1073	9384.5836
213.2142	11339.834
222.2941	12126.786
231.3471	11760.734
240.3733	11071.51
249.373	10614.612
258.3463	10176.5332
267.2932	9757.1836
276.2139	9123.6836
285.1086	8581.2836
293.9775	7933.6338
302.8206	7476.6088
311.638	7036.2838
320.43	6719.3338
329.1967	6443.8838
337.9381	6324.5588
346.6545	6213.6088
355.3459	6066.7338
364.0125	5891.2088
372.6544	5772.8588
381.2718	5643.8838
389.8647	5598.7338
398.4334	5619.2588
406.9779	5524.9338
415.4984	5333.7088
423.9949	5192.0588
432.4677	4978.5338
440.9168	4820.1088
449.3424	4687.9588
457.7446	4594.9088
466.1235	4518.1338
474.4792	4463.9088
482.8119	4383.2088
491.1217	4294.4588
499.4087	4199.8838
507.6729	4089.4588
515.9147	3923.4838
524.134	3728.3088
532.3309	3487.0588
540.5057	3288.7338
548.6583	3067.9338
556.789	2963.4338
564.8978	2981.8338
572.9849	3126.8088
581.0503	3375.9088
589.0942	3530.9838
597.1167	3655.4838
605.1179	3517.4588
613.0979	3197.8338
621.0568	2946.5338
628.9948	2722.5588
636.9119	2631.7838
644.8082	2522.4338
652.684	2428.3838
660.5391	2336.8088
668.3739	2295.1088
676.1883	2305.6838
683.9825	2378.9588
691.7567	2521.5588
699.5107	2684.3338
707.2449	2936.3838
714.9593	3184.6088
722.654	3394.1088
730.3291	3319.0338
737.9847	3095.6338
745.6209	2956.3088
753.2379	2914.2338
760.8356	2957.9088
768.4142	2926.7338
775.9738	2811.5588
783.5146	2733.3338
791.0365	2888.7588
798.5397	3392.6088
806.0244	3879.5338
813.4905	4353.0338
820.9382	4751.3088
828.3676	5567.8588
835.7788	6255.8088
843.1719	6849.1838
850.5469	6962.2088
857.9039	7030.9338
865.2432	7192.6338
872.5646	7065.6338
879.8684	6727.1088
887.1546	6302.4338
894.4233	5806.1088
901.6747	5447.5088
908.9088	5351.0588
916.1255	5175.5338
923.3253	4909.4588
930.5079	4673.6838
937.6736	4574.4088
944.8224	4455.7838
951.9545	4356.5338
959.0698	4470.8088
966.1686	4699.3838
973.2508	4428.3588
980.3167	3818.3838
987.3661	3386.1838
994.3993	3380.0588
1001.416	3613.2588
1008.417	3911.2588
1015.402	4165.3588
1022.371	4249.3088
1029.324	4300.0838
1036.261	4378.2588
1043.183	4450.6338
1050.089	4748.5588
1056.98	5628.2588
1063.855	6189.8088
1070.714	6628.9588
1077.559	6921.4838
1084.388	6497.6838
1091.202	5434.4088
1098.001	4083.0088
1104.785	3452.1088
1111.554	3372.4088
1118.308	3266.8088
1125.048	2677.4838
1131.773	2209.5838
1138.483	1983.8338
1145.179	1899.7838
1151.86	1815.2588
1158.527	1803.0088
1165.18	1845.8338
1171.818	1868.1588
1178.442	1871.4838
1185.053	1906.9838
1191.649	1993.6088
1198.231	2050.1838
1204.799	2090.0588
1211.354	2189.5088
1217.895	2412.8588
1224.422	2665.7838
1230.936	3104.1088
1237.436	3628.6838
1243.922	4506.9838
1250.396	5636.6838
1256.856	7001.1838
1263.302	7717.7588
1269.736	7713.4838
1276.157	7237.2588
1282.564	7175.0838
1288.959	8471.6086
1295.34	11044.108
1301.709	11780.286
1308.065	9949.8082
1314.408	7781.2838
1320.739	5906.7588
1327.057	4550.9838
1333.363	3535.9838
1339.656	3136.8338
1345.937	2937.4088
1352.205	2808.2838
1358.462	2762.7838
1364.706	2737.8838
1370.938	2526.1088
1377.158	2243.8588
1383.366	2034.6338
1389.562	2071.4338
1395.746	2395.5338
1401.918	2718.6088
1408.079	3135.9088
1414.227	3901.5588
1420.365	5507.9338
1426.49	9128.8336
1432.605	15096.484
1438.707	17737.31
1444.799	16449.936
1450.879	14274.534
1456.948	11687.234
1463.005	8911.8086
1469.052	5991.2338
1475.087	4117.3838
1481.111	2908.8838
1487.124	2323.3088
1493.127	1914.0838
1499.118	1689.4088
1505.099	1512.6338
1511.069	1384.5588
1517.028	1274.5088
1522.977	1206.8588
1528.915	1145.3588
1534.842	1085.13386
1540.76	1044.88386
1546.666	1006.50882
1552.563	964.80888
1558.448	929.45888
1564.324	895.58388
1570.19	874.40888
1576.045	850.35888
1581.89	839.00888
1587.726	825.60888
1593.551	820.45888
1599.366	816.6339
1605.172	827.23388
1610.967	883.93388
1616.753	1005.73382
1622.529	1202.2088
1628.296	1441.3838
1634.052	1967.1838
1639.8	3317.6338
1645.537	6498.8338
1651.266	9127.6336
1656.984	8147.9838
1662.694	4822.6338
1668.394	2199.9338
1674.085	1307.4338
1679.766	955.90888
1685.439	830.43388
1691.102	758.5589
1696.756	732.0089
1702.401	716.9589
1708.038	693.6339
1713.665	701.9839
1719.283	765.6839
1724.893	958.70888
1730.494	1340.1838
1736.086	1925.8588
1741.669	2379.6588
1747.244	2392.2588
1752.81	1896.4838
1758.367	1213.0588
1763.916	796.5339
1769.457	612.9089
1774.989	527.1839
1780.513	481.3839
1786.028	465.1839
1791.535	451.4589
1797.034	435.4339
1802.525	425.6589
1808.007	409.7839
1813.481	397.8839
1818.948	396.4339
1824.406	386.8339
1829.856	381.9589
1835.299	370.6339
1840.733	355.6589
1846.16	356.7339
1851.579	354.6089
1856.99	344.9339
1862.393	349.0339
1867.789	300.0089
1873.177	308.8839
1878.557	327.2589
1883.93	314.0089
