	¾ùÖµ
53-40 0 60(1)_RBg	53-40 0 60(1)_RBg
111.5196	6.352889
120.9049	53.977885
130.2617	54.16539
139.59	59.477885
148.8902	68.727885
158.1623	109.3529
167.4065	270.6029
176.623	827.1029
185.8118	2895.5405
194.9732	5700.978
204.1073	9791.353
213.2142	11779.73
222.2941	12578.85
231.3471	12146.855
240.3733	11370.225
249.373	10882.605
258.3463	10419.665
267.2932	10008.539
276.2139	9378.2905
285.1086	8834.103
293.9775	8158.103
302.8206	7707.0405
311.638	7260.9155
320.43	6932.7905
329.1967	6627.728
337.9381	6474.6655
346.6545	6330.9155
355.3459	6212.478
364.0125	6073.353
372.6544	5959.353
381.2718	5810.2905
389.8647	5762.103
398.4334	5791.0405
406.9779	5712.6655
415.4984	5505.5405
423.9949	5389.478
432.4677	5195.9155
440.9168	5061.603
449.3424	4929.9155
457.7446	4825.6655
466.1235	4729.9155
474.4792	4665.9155
482.8119	4579.853
491.1217	4499.478
499.4087	4381.9155
507.6729	4243.103
515.9147	4058.9155
524.134	3852.103
532.3309	3574.4155
540.5057	3367.6655
548.6583	3132.6655
556.789	3054.1655
564.8978	3082.478
572.9849	3236.728
581.0503	3467.0405
589.0942	3629.7905
597.1167	3758.978
605.1179	3627.2905
613.0979	3270.603
621.0568	2993.478
628.9948	2724.0405
636.9119	2617.7905
644.8082	2492.1655
652.684	2393.603
660.5391	2287.6655
668.3739	2284.478
676.1883	2323.9155
683.9825	2427.478
691.7567	2637.0405
699.5107	2841.4155
707.2449	3203.5405
714.9593	3490.103
722.654	3696.4155
730.3291	3589.0405
737.9847	3261.4155
745.6209	3072.4155
753.2379	2994.353
760.8356	3030.6655
768.4142	3024.2905
775.9738	2917.603
783.5146	2835.103
791.0365	2953.1655
798.5397	3448.103
806.0244	3908.728
813.4905	4494.1655
820.9382	5107.7905
828.3676	6290.4155
835.7788	7129.978
843.1719	7709.1655
850.5469	7718.853
857.9039	7873.5405
865.2432	8141.9155
872.5646	8000.6655
879.8684	7582.2905
887.1546	7071.603
894.4233	6613.2905
901.6747	6341.2905
908.9088	6319.478
916.1255	6144.0405
923.3253	5847.603
930.5079	5606.353
937.6736	5559.1655
944.8224	5501.478
951.9545	5424.1655
959.0698	5653.4155
966.1686	6023.478
973.2508	5640.6655
980.3167	4729.478
987.3661	4014.5405
994.3993	3889.103
1001.416	4105.2905
1008.417	4424.5405
1015.402	4755.5405
1022.371	4880.978
1029.324	4905.6655
1036.261	4974.228
1043.183	5059.5405
1050.089	5406.7905
1056.98	6519.2905
1063.855	7337.353
1070.714	7886.978
1077.559	8121.4155
1084.388	7611.6655
1091.202	6429.2905
1098.001	5021.353
1104.785	4301.728
1111.554	4070.603
1118.308	3792.6655
1125.048	3095.978
1131.773	2515.478
1138.483	2273.353
1145.179	2171.853
1151.86	2068.9155
1158.527	2034.603
1165.18	2078.228
1171.818	2129.103
1178.442	2152.353
1185.053	2188.9155
1191.649	2264.353
1198.231	2335.103
1204.799	2428.228
1211.354	2583.478
1217.895	2834.978
1224.422	3154.0405
1230.936	3635.478
1237.436	4367.1655
1243.922	5632.228
1250.396	7340.978
1256.856	9202.228
1263.302	10129.79
1269.736	9903.6655
1276.157	8953.728
1282.564	8495.478
1288.959	9682.6655
1295.34	12277.725
1301.709	13052.665
1308.065	10973.23
1314.408	8510.2905
1320.739	6476.853
1327.057	4912.103
1333.363	3797.7905
1339.656	3336.978
1345.937	3093.6655
1352.205	2940.1655
1358.462	2886.978
1364.706	2860.2905
1370.938	2632.5405
1377.158	2325.853
1383.366	2122.4155
1389.562	2207.353
1395.746	2614.978
1401.918	2932.228
1408.079	3347.103
1414.227	4273.353
1420.365	6017.478
1426.49	10113.415
1432.605	16368.355
1438.707	19492.29
1444.799	18137.29
1450.879	15597.73
1456.948	12888.04
1463.005	9633.853
1469.052	6526.853
1475.087	4333.2905
1481.111	3050.978
1487.124	2347.5405
1493.127	1939.6655
1499.118	1673.603
1505.099	1488.853
1511.069	1337.353
1517.028	1235.478
1522.977	1134.4155
1528.915	1068.853
1534.842	1000.7904
1540.76	955.5404
1546.666	918.4779
1552.563	896.2904
1558.448	850.1654
1564.324	820.1654
1570.19	773.2904
1576.045	747.5404
1581.89	752.2904
1587.726	734.3529
1593.551	748.2279
1599.366	771.8529
1605.172	806.7279
1610.967	863.2904
1616.753	1013.7904
1622.529	1252.9155
1628.296	1587.853
1634.052	2250.6655
1639.8	4000.478
1645.537	7573.978
1651.266	11469.415
1656.984	11046.85
1662.694	6678.0405
1668.394	3155.9155
1674.085	1582.103
1679.766	1053.228
1685.439	833.1029
1691.102	736.7904
1696.756	703.7904
1702.401	672.1654
1708.038	646.5404
1713.665	670.0404
1719.283	734.7279
1724.893	934.4154
1730.494	1405.853
1736.086	2052.978
1741.669	2586.728
1747.244	2597.603
1752.81	2002.853
1758.367	1255.603
1763.916	757.2904
1769.457	556.4154
1774.989	469.7904
1780.513	414.0404
1786.028	397.4154
1791.535	379.7904
1797.034	363.9779
1802.525	356.2904
1808.007	344.4154
1813.481	319.2279
1818.948	313.6654
1824.406	311.0404
1829.856	305.4154
1835.299	298.2904
1840.733	304.2279
1846.16	298.3529
1851.579	282.1654
1856.99	272.2904
1862.393	284.4154
1867.789	291.2279
1873.177	271.1654
1878.557	263.2279
1883.93	266.6029
