,index,value
0,111.5196,-4.4660874
1,120.9049,80.383908
2,130.2617,90.158908
3,139.59,96.308908
4,148.8902,113.733904
5,158.1623,139.583906
6,167.4065,305.5589
7,176.623,849.7339
8,185.8118,2807.7588
9,194.9732,5500.8838
10,204.1073,9384.5836
11,213.2142,11339.834
12,222.2941,12126.786
13,231.3471,11760.734
14,240.3733,11071.51
15,249.373,10614.612
16,258.3463,10176.5332
17,267.2932,9757.1836
18,276.2139,9123.6836
19,285.1086,8581.2836
20,293.9775,7933.6338
21,302.8206,7476.6088
22,311.638,7036.2838
23,320.43,6719.3338
24,329.1967,6443.8838
25,337.9381,6324.5588
26,346.6545,6213.6088
27,355.3459,6066.7338
28,364.0125,5891.2088
29,372.6544,5772.8588
30,381.2718,5643.8838
31,389.8647,5598.7338
32,398.4334,5619.2588
33,406.9779,5524.9338
34,415.4984,5333.7088
35,423.9949,5192.0588
36,432.4677,4978.5338
37,440.9168,4820.1088
38,449.3424,4687.9588
39,457.7446,4594.9088
40,466.1235,4518.1338
41,474.4792,4463.9088
42,482.8119,4383.2088
43,491.1217,4294.4588
44,499.4087,4199.8838
45,507.6729,4089.4588
46,515.9147,3923.4838
47,524.134,3728.3088
48,532.3309,3487.0588
49,540.5057,3288.7338
50,548.6583,3067.9338
51,556.789,2963.4338
52,564.8978,2981.8338
53,572.9849,3126.8088
54,581.0503,3375.9088
55,589.0942,3530.9838
56,597.1167,3655.4838
57,605.1179,3517.4588
58,613.0979,3197.8338
59,621.0568,2946.5338
60,628.9948,2722.5588
61,636.9119,2631.7838
62,644.8082,2522.4338
63,652.684,2428.3838
64,660.5391,2336.8088
65,668.3739,2295.1088
66,676.1883,2305.6838
67,683.9825,2378.9588
68,691.7567,2521.5588
69,699.5107,2684.3338
70,707.2449,2936.3838
71,714.9593,3184.6088
72,722.654,3394.1088
73,730.3291,3319.0338
74,737.9847,3095.6338
75,745.6209,2956.3088
76,753.2379,2914.2338
77,760.8356,2957.9088
78,768.4142,2926.7338
79,775.9738,2811.5588
80,783.5146,2733.3338
81,791.0365,2888.7588
82,798.5397,3392.6088
83,806.0244,3879.5338
84,813.4905,4353.0338
85,820.9382,4751.3088
86,828.3676,5567.8588
87,835.7788,6255.8088
88,843.1719,6849.1838
89,850.5469,6962.2088
90,857.9039,7030.9338
91,865.2432,7192.6338
92,872.5646,7065.6338
93,879.8684,6727.1088
94,887.1546,6302.4338
95,894.4233,5806.1088
96,901.6747,5447.5088
97,908.9088,5351.0588
98,916.1255,5175.5338
99,923.3253,4909.4588
100,930.5079,4673.6838
101,937.6736,4574.4088
102,944.8224,4455.7838
103,951.9545,4356.5338
104,959.0698,4470.8088
105,966.1686,4699.3838
106,973.2508,4428.3588
107,980.3167,3818.3838
108,987.3661,3386.1838
109,994.3993,3380.0588
110,1001.416,3613.2588
111,1008.417,3911.2588
112,1015.402,4165.3588
113,1022.371,4249.3088
114,1029.324,4300.0838
115,1036.261,4378.2588
116,1043.183,4450.6338
117,1050.089,4748.5588
118,1056.98,5628.2588
119,1063.855,6189.8088
120,1070.714,6628.9588
121,1077.559,6921.4838
122,1084.388,6497.6838
123,1091.202,5434.4088
124,1098.001,4083.0088
125,1104.785,3452.1088
126,1111.554,3372.4088
127,1118.308,3266.8088
128,1125.048,2677.4838
129,1131.773,2209.5838
130,1138.483,1983.8338
131,1145.179,1899.7838
132,1151.86,1815.2588
133,1158.527,1803.0088
134,1165.18,1845.8338
