,index,value
0,111.5196,-40.702725
1,120.9049,98.73476
2,130.2617,103.859765
3,139.59,110.484765
4,148.8902,120.04725
5,158.1623,149.73475
6,167.4065,346.04725
7,176.623,925.79725
8,185.8118,3069.922
9,194.9732,6025.1725
10,204.1073,10232.795
11,213.2142,12284.92
12,222.2941,13031.86
13,231.3471,12506.86
14,240.3733,11625.795
15,249.373,11048.61
16,258.3463,10552.985
17,267.2932,10134.86
18,276.2139,9474.485
19,285.1086,8878.985
20,293.9775,8183.9845
21,302.8206,7698.36
22,311.638,7207.61
23,320.43,6856.1725
24,329.1967,6497.4225
25,337.9381,6330.36
26,346.6545,6171.485
27,355.3459,6050.7975
28,364.0125,5974.0475
29,372.6544,5849.985
30,381.2718,5678.235
31,389.8647,5641.4225
32,398.4334,5683.7975
33,406.9779,5568.11
34,415.4984,5390.86
35,423.9949,5291.6725
36,432.4677,5132.11
37,440.9168,4982.5475
38,449.3424,4852.7975
39,457.7446,4746.485
40,466.1235,4649.235
41,474.4792,4586.735
42,482.8119,4510.36
43,491.1217,4421.9225
44,499.4087,4286.61
45,507.6729,4149.86
46,515.9147,3949.297
47,524.134,3721.297
48,532.3309,3439.2345
49,540.5057,3205.7345
50,548.6583,2976.672
51,556.789,2913.797
52,564.8978,2993.1095
53,572.9849,3153.297
54,581.0503,3401.547
55,589.0942,3586.4845
56,597.1167,3734.547
57,605.1179,3589.797
58,613.0979,3172.1095
59,621.0568,2836.547
60,628.9948,2593.797
61,636.9119,2454.2345
62,644.8082,2324.797
63,652.684,2219.1095
64,660.5391,2159.547
65,668.3739,2159.172
66,676.1883,2221.922
67,683.9825,2377.297
68,691.7567,2654.297
69,699.5107,2928.4845
70,707.2449,3335.6095
71,714.9593,3685.547
72,722.654,3881.2345
73,730.3291,3719.797
74,737.9847,3315.922
75,745.6209,3038.422
76,753.2379,2922.922
77,760.8356,2958.297
78,768.4142,2959.297
79,775.9738,2846.922
80,783.5146,2733.1095
81,791.0365,2843.172
82,798.5397,3242.3595
83,806.0244,3705.797
84,813.4905,4323.1725
85,820.9382,5157.61
86,828.3676,6566.7975
87,835.7788,7578.735
88,843.1719,8078.36
89,850.5469,8025.235
90,857.9039,8262.235
91,865.2432,8676.9225
92,872.5646,8522.1725
93,879.8684,7994.9225
94,887.1546,7432.61
95,894.4233,7012.1725
96,901.6747,6878.6725
97,908.9088,6905.11
98,916.1255,6736.735
99,923.3253,6407.6725
100,930.5079,6165.86
101,937.6736,6132.735
102,944.8224,6096.6725
103,951.9545,6052.1725
104,959.0698,6328.1725
105,966.1686,6762.4225
106,973.2508,6323.6725
107,980.3167,5163.985
108,987.3661,4224.0475
109,994.3993,4023.2345
110,1001.416,4155.2975
111,1008.417,4412.86
112,1015.402,4752.61
113,1022.371,4886.36
114,1029.324,4880.985
115,1036.261,4926.9225
116,1043.183,4991.86
117,1050.089,5375.1725
118,1056.98,6515.7975
119,1063.855,7395.61
120,1070.714,7952.5475
121,1077.559,8109.735
122,1084.388,7548.735
123,1091.202,6433.7975
124,1098.001,5157.0475
125,1104.785,4476.5475
126,1111.554,4076.297
127,1118.308,3685.4845
128,1125.048,3002.1095
129,1131.773,2460.3595
130,1138.483,2191.922
131,1145.179,2085.7345
132,1151.86,1991.047
133,1158.527,1956.9845
134,1165.18,1982.4845
135,1171.818,2023.422
136,1178.442,2110.8595
137,1185.053,2200.172
138,1191.649,2295.922
139,1198.231,2378.2345
140,1204.799,2511.797
141,1211.354,2742.2345
142,1217.895,3038.547
143,1224.422,3354.6095
144,1230.936,3908.3595
145,1237.436,4787.6725
146,1243.922,6404.2975
147,1250.396,8599.4225
148,1256.856,10883.235
149,1263.302,12041.485
150,1269.736,11630.36
151,1276.157,10291.36
152,1282.564,9494.9225
153,1288.959,10524.61
154,1295.34,13144.545
155,1301.709,13960.86
156,1308.065,11741.42
157,1314.408,9069.735
158,1320.739,6909.735
159,1327.057,5217.11
160,1333.363,4009.672
161,1339.656,3505.3595
162,1345.937,3245.2345
163,1352.205,3063.7345
164,1358.462,3012.047
165,1364.706,2989.547
166,1370.938,2763.6095
167,1377.158,2438.4845
168,1383.366,2249.9845
169,1389.562,2405.8595
170,1395.746,2855.3595
171,1401.918,3173.672
172,1408.079,3608.6095
173,1414.227,4667.235
174,1420.365,6576.1725
175,1426.49,11069.36
176,1432.605,17837.985
177,1438.707,21353.485
178,1444.799,19887.61
179,1450.879,17078.295
180,1456.948,14135.175
181,1463.005,10531.11
182,1469.052,7123.86
183,1475.087,4671.0475
184,1481.111,3243.797
185,1487.124,2478.1095
186,1493.127,2026.172
187,1499.118,1724.297
188,1505.099,1525.7345
189,1511.069,1364.6095
190,1517.028,1251.3595
191,1522.977,1147.172
192,1528.915,1050.2345
193,1534.842,1000.98465
194,1540.76,961.48475
195,1546.666,902.98475
196,1552.563,866.54725
197,1558.448,831.17225
198,1564.324,795.67225
199,1570.19,762.35975
200,1576.045,745.60975
201,1581.89,732.98475
202,1587.726,738.04725
203,1593.551,766.48475
204,1599.366,787.79725
205,1605.172,826.98475
206,1610.967,927.60975
207,1616.753,1116.2345
208,1622.529,1387.8595
209,1628.296,1774.672
210,1634.052,2588.7345
211,1639.8,4643.11
212,1645.537,8853.7975
213,1651.266,13845.55
214,1656.984,14027.36
215,1662.694,8839.485
216,1668.394,4120.2975
217,1674.085,1984.8595
218,1679.766,1264.797
219,1685.439,955.92225
220,1691.102,830.35975
221,1696.756,746.35975
222,1702.401,705.67225
223,1708.038,699.48475
224,1713.665,705.98475
225,1719.283,772.23475
226,1724.893,1012.9845
227,1730.494,1541.047
228,1736.086,2294.9845
229,1741.669,2920.172
230,1747.244,2915.797
231,1752.81,2221.547
232,1758.367,1373.8595
233,1763.916,802.17225
234,1769.457,576.67225
235,1774.989,483.35975
236,1780.513,437.42225
237,1786.028,401.85975
238,1791.535,380.29725
239,1797.034,370.60975
240,1802.525,360.98475
241,1808.007,357.10975
242,1813.481,337.17225
243,1818.948,325.73475
244,1824.406,321.10975
245,1829.856,314.23475
246,1835.299,309.67225
247,1840.733,307.67225
248,1846.16,295.17225
249,1851.579,297.42225
250,1856.99,296.48475
251,1862.393,277.23475
252,1867.789,284.48475
253,1873.177,292.04725
254,1878.557,281.60975
255,1883.93,280.67225
