,id,大豆油浓度,玉米油浓度,茶油浓度,peak:843,peak:865,peak:966,peak:1077,peak:1263,peak:1301,peak:1438,peak:1651,peak:1656
0,1,2.5,0.0,97.5,6689.067133333333,7096.400466666666,4532.850466666666,6682.7088,7477.475466666666,10924.734066666666,16427.91,7924.8170666666665,7366.083733333333
1,2,35.0,0.0,65.0,6980.867111111113,7447.408777777783,5259.728222222224,7242.17266666667,8862.478222222226,11240.575555555566,16759.296666666665,9169.532333333324,8822.69899999999
2,7,90.0,0.0,10.0,6021.676166666667,6494.905333333333,5208.697,5953.3845,9473.364333333333,9922.343666666668,15215.136666666667,10162.029833333334,10316.592333333334
3,11,5.0,0.0,95.0,3967.4123999999997,4215.4874,2737.1957333333335,4034.7873999999997,4485.879066666667,6475.7957333333325,9712.5048,4731.2124,4408.570733333333
4,12,10.0,0.0,90.0,7199.51833333334,7649.49055555556,5028.89333333333,7418.018333333337,8336.684777777782,11732.130000000034,17492.39555555557,8695.170888888892,8145.0458888888925
5,14,15.0,0.0,85.0,7203.327666666667,7662.924888888891,5124.341555555554,7409.8137777777765,8440.813777777783,11637.273333333333,17324.74444444443,8808.883555555569,8305.022444444456
6,15,30.0,0.0,70.0,7747.787000000004,8271.550666666668,5757.564777777777,8005.217444444446,9685.397777777785,12574.978888888867,18772.82999999997,10071.592333333347,9669.245111111122
7,17,40.0,0.0,60.0,7519.332166666667,8005.373833333334,5772.519666666667,7873.353,9745.227833333332,12101.206666666665,17999.31166666667,10030.081,9731.435166666666
8,20,60.0,0.0,40.0,7104.189000000001,7622.980666666667,5662.918166666667,7035.168166666667,10027.439666666667,11741.731666666667,17884.42,10769.169666666667,10666.815499999999
9,21,25.0,0.0,75.0,6174.443111111114,6588.943111111114,4441.123666666667,6124.80422222222,7547.540333333341,10085.651777777779,15255.485555555568,8067.77644444445,7690.4292222222275
10,26,70.0,0.0,30.0,7894.11,8487.11,6471.4225,7870.339166666666,11518.36,12948.941666666666,19693.02666666667,12242.235833333334,12237.465000000002
11,27,50.0,0.0,50.0,5315.711333333333,5684.6905,4133.6905,5274.607166666666,7207.773833333333,8735.607166666667,13276.398333333333,7728.898833333334,7555.773833333334
12,28,80.0,0.0,20.0,7807.481833333334,8392.357166666667,6648.044333333334,7954.919333333334,11857.418333333333,12770.021666666667,19352.295000000002,12425.542166666666,12530.396333333332
13,29,20.0,0.0,80.0,6445.6617777777765,6864.967333333334,4610.689555555557,6542.217333333334,7770.759000000001,10544.469111111115,15864.0922222222,8224.42566666667,7795.759000000003
14,31,7.5,0.0,92.5,6014.578533333333,6391.961866666667,4140.8452,6000.6202,6841.445199999999,9828.877933333335,14793.928666666667,7261.345200000001,6791.6452
