	¾ùÖµ
26-0 10 90(1)_RBg	26-0 10 90(1)_RBg
111.5196	-20.6769433333333
120.9049	66.6147233333333
130.2617	69.6147233333333
139.59	73.5730566666667
148.8902	81.3647233333333
158.1623	124.156366666667
167.4065	331.989733333333
176.623	995.448
185.8118	3442.36466666667
194.9732	6727.90633333334
204.1073	11551.4066666667
213.2142	13969.45
222.2941	14968.2
231.3471	14530.6566666667
240.3733	13728.6166666667
249.373	13198.7
258.3463	12696.1166666667
267.2932	12226.1166666667
276.2139	11508.95
285.1086	10890.3666666667
293.9775	10132.1166666667
302.8206	9604.53166666667
311.638	9065.19833333334
320.43	8692.82333333334
329.1967	8380.40666666667
337.9381	8229.99
346.6545	8073.11466666667
355.3459	7895.90633333334
364.0125	7703.36466666667
372.6544	7546.448
381.2718	7362.86466666667
389.8647	7294.448
398.4334	7306.323
406.9779	7188.98966666667
415.4984	6961.36466666667
423.9949	6787.11466666667
432.4677	6515.86466666667
440.9168	6321.823
449.3424	6155.78133333334
457.7446	6048.48966666667
466.1235	5934.36466666667
474.4792	5844.23966666667
482.8119	5744.323
491.1217	5637.40633333333
499.4087	5495.40633333333
507.6729	5344.23966666667
515.9147	5136.53133333333
524.134	4893.78133333333
532.3309	4592.573
540.5057	4347.11466666667
548.6583	4082.90633333333
556.789	3951.78133333333
564.8978	3978.573
572.9849	4130.65633333333
581.0503	4386.73966666667
589.0942	4565.23966666667
597.1167	4670.36466666667
605.1179	4498.448
613.0979	4132.36466666667
621.0568	3818.23966666667
628.9948	3580.073
636.9119	3454.15633333333
644.8082	3310.073
652.684	3174.78133333333
660.5391	3054.698
668.3739	3008.98966666667
676.1883	3022.48966666667
683.9825	3110.40633333333
691.7567	3274.61466666667
699.5107	3436.73966666667
707.2449	3727.86466666667
714.9593	4022.15633333333
722.654	4215.948
730.3291	4132.23966666667
737.9847	3869.40633333333
745.6209	3681.23966666667
753.2379	3640.40633333333
760.8356	3688.90633333333
768.4142	3650.78133333333
775.9738	3504.78133333333
783.5146	3411.198
791.0365	3582.73966666667
798.5397	4113.573
806.0244	4696.573
813.4905	5203.78133333333
820.9382	5738.65633333333
828.3676	6651.23966666667
835.7788	7532.03133333334
843.1719	8140.573
850.5469	8249.44833333334
857.9039	8306.78166666667
865.2432	8519.28166666667
872.5646	8405.74
879.8684	7980.28133333334
887.1546	7506.23966666667
894.4233	6905.15633333334
901.6747	6550.48966666667
908.9088	6440.28133333334
916.1255	6256.73966666667
923.3253	5915.61466666667
930.5079	5653.323
937.6736	5534.948
944.8224	5413.698
951.9545	5306.78133333333
959.0698	5451.86466666667
966.1686	5751.948
973.2508	5439.53133333333
980.3167	4665.28133333333
987.3661	4157.23966666667
994.3993	4105.11466666667
1001.416	4371.23966666667
1008.417	4739.698
1015.402	5018.78133333333
1022.371	5122.90633333333
1029.324	5181.11466666667
1036.261	5282.323
1043.183	5354.073
1050.089	5716.78133333333
1056.98	6694.53133333334
1063.855	7469.11466666667
1070.714	7937.823
1077.559	8272.82333333334
1084.388	7808.28133333334
1091.202	6493.948
1098.001	5046.198
1104.785	4236.78133333333
1111.554	4150.03133333333
1118.308	3990.948
1125.048	3318.28133333333
1131.773	2694.698
1138.483	2455.90633333333
1145.179	2357.73966666667
1151.86	2262.15633333333
1158.527	2230.823
1165.18	2291.823
1171.818	2330.78133333333
1178.442	2342.23966666667
1185.053	2378.28133333333
1191.649	2476.65633333333
1198.231	2539.48966666667
1204.799	2584.573
1211.354	2723.78133333333
1217.895	2956.48966666667
1224.422	3281.448
1230.936	3749.98966666667
1237.436	4406.61466666667
1243.922	5385.03133333333
1250.396	6839.61466666667
1256.856	8362.365
1263.302	9263.82333333334
1269.736	9215.82333333334
1276.157	8590.24
1282.564	8477.57333333334
1288.959	10014.905
1295.34	12764.95
1301.709	13702.2833333333
1308.065	11678.7
1314.408	9032.865
1320.739	6996.23966666667
1327.057	5335.53133333333
1333.363	4235.36466666667
1339.656	3738.948
1345.937	3510.698
1352.205	3337.23966666667
1358.462	3288.198
1364.706	3238.823
1370.938	3010.823
1377.158	2666.198
1383.366	2455.573
1389.562	2503.198
1395.746	2858.15633333333
1401.918	3249.90633333333
1408.079	3697.36466666667
1414.227	4623.573
1420.365	6369.823
1426.49	10716.6166666667
1432.605	17149.8666666667
1438.707	20429.2833333333
1444.799	19018.3266666667
1450.879	16367.2433333333
1456.948	13575.5733333333
1463.005	10217.8666666667
1469.052	7070.698
1475.087	4751.28133333333
1481.111	3452.73966666667
1487.124	2708.15633333333
1493.127	2306.323
1499.118	2021.98966666667
1505.099	1825.23966666667
1511.069	1654.61466666667
1517.028	1543.823
1522.977	1439.448
1528.915	1365.15633333333
1534.842	1301.40633333333
1540.76	1256.86466666667
1546.666	1201.323
1552.563	1156.448
1558.448	1116.48966666667
1564.324	1077.198
1570.19	1057.698
1576.045	1039.61466666667
1581.89	1014.40633333333
1587.726	998.531333333334
1593.551	997.489666666667
1599.366	994.281333333334
1605.172	1003.4896
1610.967	1060.573
1616.753	1201.23966666667
1622.529	1426.948
1628.296	1767.48966666667
1634.052	2340.86466666667
1639.8	4041.948
1645.537	7326.28133333334
1651.266	10827.95
1656.984	9827.24
1662.694	5547.28133333333
1668.394	2815.823
1674.085	1550.323
1679.766	1164.90633333333
1685.439	986.823133333334
1691.102	898.448066666667
1696.756	858.989733333334
1702.401	843.448066666667
1708.038	830.323066666667
1713.665	838.739733333334
1719.283	913.989733333334
1724.893	1118.28133333333
1730.494	1591.15633333333
1736.086	2195.573
1741.669	2773.78133333333
1747.244	2779.573
1752.81	2161.28133333333
1758.367	1449.03133333333
1763.916	912.698066666667
1769.457	713.448066666667
1774.989	614.5314
1780.513	565.448066666667
1786.028	534.448066666667
1791.535	528.823066666667
1797.034	506.2814
1802.525	494.948066666667
1808.007	480.573066666667
1813.481	465.739733333333
1818.948	456.198066666667
1824.406	449.9064
1829.856	438.823066666667
1835.299	439.0314
1840.733	419.489733333333
1846.16	417.864733333333
1851.579	411.5314
1856.99	405.323066666667
1862.393	395.323066666667
1867.789	382.198066666667
1873.177	389.1564
1878.557	373.448066666667
1883.93	360.739733333333
