	¾ùÖµ
4-0 2.5 97.5(1)_RBg	4-0 2.5 97.5(5)_RBg
111.5196	-17.2776764
120.9049	54.447322
130.2617	51.147322
139.59	58.722324
148.8902	73.397324
158.1623	99.922336
167.4065	242.34732
176.623	683.1723
185.8118	2325.8722
194.9732	4569.8222
204.1073	7801.9722
213.2142	9437.0972
222.2941	10088.3
231.3471	9777.6472
240.3733	9211.4472
249.373	8824.4722
258.3463	8461.0722
267.2932	8117.9972
276.2139	7612.9972
285.1086	7155.2472
293.9775	6617.7472
302.8206	6244.0472
311.638	5897.4472
320.43	5627.3472
329.1967	5385.1222
337.9381	5291.0972
346.6545	5199.2722
355.3459	5080.6472
364.0125	4947.4222
372.6544	4847.6722
381.2718	4730.4722
389.8647	4686.5722
398.4334	4691.0472
406.9779	4619.6472
415.4984	4474.0222
423.9949	4351.8722
432.4677	4184.5472
440.9168	4052.8972
449.3424	3942.6472
457.7446	3865.9222
466.1235	3799.7222
474.4792	3751.3722
482.8119	3697.5722
491.1217	3622.2472
499.4087	3526.2722
507.6729	3430.5722
515.9147	3304.6972
524.134	3145.9222
532.3309	2930.9972
540.5057	2759.9972
548.6583	2579.5472
556.789	2502.8472
564.8978	2519.9222
572.9849	2633.9222
581.0503	2834.4472
589.0942	2960.7222
597.1167	3038.6472
605.1179	2926.8972
613.0979	2667.5722
621.0568	2458.9972
628.9948	2293.9722
636.9119	2201.3472
644.8082	2111.3724
652.684	2031.5974
660.5391	1943.0974
668.3739	1922.2224
676.1883	1936.2224
683.9825	1991.0474
691.7567	2106.0474
699.5107	2226.9222
707.2449	2424.0472
714.9593	2628.3722
722.654	2780.3722
730.3291	2740.9472
737.9847	2566.9222
745.6209	2446.4472
753.2379	2424.6722
760.8356	2455.0222
768.4142	2419.2222
775.9738	2323.3972
783.5146	2275.4222
791.0365	2401.7722
798.5397	2791.8722
806.0244	3200.6222
813.4905	3565.7222
820.9382	3906.6972
828.3676	4555.6472
835.7788	5151.8472
843.1719	5607.3722
850.5469	5697.7222
857.9039	5742.2972
865.2432	5883.7222
872.5646	5790.4472
879.8684	5505.7722
887.1546	5161.4472
894.4233	4750.4222
901.6747	4461.9972
908.9088	4377.0222
916.1255	4241.2722
923.3253	4015.9472
930.5079	3823.1722
937.6736	3744.9222
944.8224	3648.9472
951.9545	3555.2472
959.0698	3652.7472
966.1686	3842.5972
973.2508	3624.1472
980.3167	3138.1722
987.3661	2798.7222
994.3993	2771.3222
1001.416	2974.1972
1008.417	3222.9972
1015.402	3430.4972
1022.371	3502.9472
1029.324	3546.0722
1036.261	3605.0722
1043.183	3657.0722
1050.089	3908.4722
1056.98	4602.8472
1063.855	5107.3722
1070.714	5455.0722
1077.559	5688.4472
1084.388	5355.5722
1091.202	4464.6472
1098.001	3387.8222
1104.785	2832.2972
1111.554	2781.1972
1118.308	2699.5722
1125.048	2228.8722
1131.773	1817.0724
1138.483	1644.3974
1145.179	1583.7724
1151.86	1520.5224
1158.527	1493.4474
1165.18	1522.3724
1171.818	1547.2974
1178.442	1558.7474
1185.053	1587.5224
1191.649	1647.6224
1198.231	1688.0224
1204.799	1722.8474
1211.354	1798.3474
1217.895	1972.9474
1224.422	2210.6222
1230.936	2533.1722
1237.436	2968.4472
1243.922	3644.6222
1250.396	4608.3222
1256.856	5687.2972
1263.302	6299.3972
1269.736	6295.4722
1276.157	5890.0472
1282.564	5851.1222
1288.959	6960.0972
1295.34	8965.9972
1301.709	9603.2482
1308.065	8167.6222
1314.408	6312.6722
1320.739	4857.3472
1327.057	3694.8222
1333.363	2912.3722
1339.656	2576.4722
1345.937	2417.9972
1352.205	2287.1972
1358.462	2256.2972
1364.706	2234.9222
1370.938	2070.5474
1377.158	1826.9724
1383.366	1677.0474
1389.562	1706.1974
1395.746	1959.6974
1401.918	2227.8222
1408.079	2542.9972
1414.227	3185.7222
1420.365	4431.9222
1426.49	7538.9222
1432.605	12151.972
1438.707	14455.674
1444.799	13435.698
1450.879	11572.2
1456.948	9575.4222
1463.005	7178.8972
1469.052	4920.3472
1475.087	3308.1722
1481.111	2374.7222
1487.124	1880.7224
1493.127	1578.2224
1499.118	1384.5724
1505.099	1247.6974
1511.069	1135.7974
1517.028	1052.5974
1522.977	995.2473
1528.915	944.4473
1534.842	897.4723
1540.76	860.0473
1546.666	825.5723
1552.563	801.3473
1558.448	764.4723
1564.324	736.6223
1570.19	713.4723
1576.045	708.9473
1581.89	695.5223
1587.726	678.5473
1593.551	673.2723
1599.366	683.6973
1605.172	692.6473
1610.967	728.3223
1616.753	819.9973
1622.529	979.5973
1628.296	1184.2474
1634.052	1588.5974
1639.8	2749.3222
1645.537	5160.4472
1651.266	7428.9972
1656.984	6629.2972
1662.694	3775.2972
1668.394	1824.1474
1674.085	1049.8473
1679.766	788.2723
1685.439	676.5723
1691.102	622.8973
1696.756	599.5473
1702.401	584.3473
1708.038	568.7973
1713.665	579.2723
1719.283	634.2723
1724.893	776.4723
1730.494	1087.1974
1736.086	1544.8224
1741.669	1923.7724
1747.244	1927.9724
1752.81	1510.3224
1758.367	997.59726
1763.916	643.5973
1769.457	494.12232
1774.989	419.07232
1780.513	396.22232
1786.028	375.62232
1791.535	361.47232
1797.034	346.64732
1802.525	341.89732
1808.007	331.64732
1813.481	328.67232
1818.948	316.07232
1824.406	309.67232
1829.856	314.94732
1835.299	314.22232
1840.733	294.42232
1846.16	285.82232
1851.579	285.07232
1856.99	285.44732
1862.393	275.12232
1867.789	278.52232
1873.177	267.32232
1878.557	256.79732
1883.93	259.34732
