,index,value
0,111.5196,-12.813927
1,120.9049,58.911074
2,130.2617,55.311074
3,139.59,61.461074
4,148.8902,78.936082
5,158.1623,106.661082
6,167.4065,273.11108
7,176.623,829.76108
8,185.8118,2871.5362
9,194.9732,5644.1362
10,204.1073,9663.9358
11,213.2142,11689.212
12,222.2941,12545.638
13,231.3471,12167.038
14,240.3733,11470.938
15,249.373,11001.886
16,258.3463,10569.81
17,267.2932,10152.138
18,276.2139,9527.7858
19,285.1086,8969.7108
20,293.9775,8330.9358
21,302.8206,7876.2612
22,311.638,7430.7612
23,320.43,7102.6112
24,329.1967,6810.8612
25,337.9381,6692.6862
26,346.6545,6587.6862
27,355.3459,6433.8112
28,364.0125,6259.8362
29,372.6544,6136.6362
30,381.2718,5989.5612
31,389.8647,5933.6362
32,398.4334,5940.0112
33,406.9779,5860.9612
34,415.4984,5677.0862
35,423.9949,5522.4362
36,432.4677,5325.8362
37,440.9168,5161.9112
38,449.3424,5015.0362
39,457.7446,4917.8362
40,466.1235,4830.3112
41,474.4792,4768.3612
42,482.8119,4704.1862
43,491.1217,4604.8362
44,499.4087,4485.4612
45,507.6729,4355.5112
46,515.9147,4198.7612
47,524.134,3985.7862
48,532.3309,3723.7862
49,540.5057,3517.3612
50,548.6583,3280.5612
51,556.789,3171.7362
52,564.8978,3203.6612
53,572.9849,3348.8362
54,581.0503,3572.1362
55,589.0942,3743.1612
56,597.1167,3831.5362
57,605.1179,3684.2862
58,613.0979,3368.5862
59,621.0568,3099.2112
60,628.9948,2898.0362
61,636.9119,2780.9112
62,644.8082,2667.4612
63,652.684,2570.5612
64,660.5391,2474.6362
65,668.3739,2433.3112
66,676.1883,2453.8612
67,683.9825,2520.3362
68,691.7567,2651.2612
69,699.5107,2804.9862
70,707.2449,3049.3612
71,714.9593,3312.0362
72,722.654,3500.4112
73,730.3291,3428.2612
74,737.9847,3215.5112
75,745.6209,3066.0362
76,753.2379,3024.4862
77,760.8356,3065.2112
78,768.4142,3026.2362
79,775.9738,2910.5862
80,783.5146,2851.3612
81,791.0365,2993.8862
82,798.5397,3459.7612
83,806.0244,3974.8112
84,813.4905,4427.0112
85,820.9382,4868.6862
86,828.3676,5698.6362
87,835.7788,6435.0612
88,843.1719,6968.5362
89,850.5469,7071.3112
90,857.9039,7125.0612
91,865.2432,7290.1862
92,872.5646,7177.1612
93,879.8684,6832.8112
94,887.1546,6418.0612
95,894.4233,5918.8362
96,901.6747,5580.4362
97,908.9088,5476.7612
98,916.1255,5307.6862
99,923.3253,5030.3112
100,930.5079,4789.6362
101,937.6736,4703.5862
102,944.8224,4588.0862
103,951.9545,4501.6612
104,959.0698,4639.3612
105,966.1686,4873.7612
106,973.2508,4606.4112
107,980.3167,3970.5612
108,987.3661,3519.4612
109,994.3993,3492.2862
110,1001.416,3725.4362
111,1008.417,4028.1612
112,1015.402,4301.9612
113,1022.371,4382.0862
114,1029.324,4441.8612
115,1036.261,4524.4112
116,1043.183,4599.3112
117,1050.089,4895.4862
118,1056.98,5772.8112
119,1063.855,6385.6612
120,1070.714,6829.2362
121,1077.559,7119.1112
122,1084.388,6705.4362
123,1091.202,5618.2362
124,1098.001,4274.6862
125,1104.785,3621.8862
126,1111.554,3535.5612
