,index,value
0,111.5196,-33.123742
1,120.9049,63.476258
2,130.2617,69.626258
3,139.59,80.601258
4,148.8902,83.826258
5,158.1623,96.551258
6,167.4065,185.47626
7,176.623,463.30126
8,185.8118,1451.2014
9,194.9732,2832.4514
10,204.1073,4815.1762
11,213.2142,5823.3262
12,222.2941,6227.3262
13,231.3471,6031.3012
14,240.3733,5689.0012
15,249.373,5461.1512
16,258.3463,5234.4512
17,267.2932,5024.9762
18,276.2139,4721.3262
19,285.1086,4453.6012
20,293.9775,4141.1764
21,302.8206,3907.2264
22,311.638,3682.2014
23,320.43,3514.7014
24,329.1967,3376.9514
25,337.9381,3326.3014
26,346.6545,3270.7264
27,355.3459,3196.9514
28,364.0125,3104.5264
29,372.6544,3041.1514
30,381.2718,2980.5764
31,389.8647,2955.8764
32,398.4334,2966.3014
33,406.9779,2927.9264
34,415.4984,2839.7514
35,423.9949,2770.3514
36,432.4677,2667.4264
37,440.9168,2590.8514
38,449.3424,2525.3264
39,457.7446,2474.0264
40,466.1235,2442.4264
41,474.4792,2412.8264
42,482.8119,2370.8514
43,491.1217,2329.8014
44,499.4087,2267.7764
45,507.6729,2203.9764
46,515.9147,2134.3264
47,524.134,2034.5264
48,532.3309,1898.6014
49,540.5057,1786.5764
50,548.6583,1685.2514
51,556.789,1639.4264
52,564.8978,1642.7014
53,572.9849,1704.0264
54,581.0503,1819.9014
55,589.0942,1897.4014
56,597.1167,1939.0264
57,605.1179,1878.6764
58,613.0979,1722.2264
59,621.0568,1599.0764
60,628.9948,1498.0514
61,636.9119,1444.0264
62,644.8082,1377.0264
63,652.684,1327.5264
64,660.5391,1291.9764
65,668.3739,1270.6264
66,676.1883,1279.1514
67,683.9825,1309.2014
68,691.7567,1369.7764
69,699.5107,1444.0764
70,707.2449,1559.1514
71,714.9593,1677.9014
72,722.654,1775.8014
73,730.3291,1747.0514
74,737.9847,1641.2514
75,745.6209,1568.6764
76,753.2379,1552.9014
77,760.8356,1560.8264
78,768.4142,1548.8514
79,775.9738,1499.4264
80,783.5146,1471.9764
81,791.0365,1544.1014
82,798.5397,1785.5514
83,806.0244,2023.2514
84,813.4905,2236.2264
85,820.9382,2434.5014
86,828.3676,2843.5514
87,835.7788,3182.5514
88,843.1719,3468.2264
89,850.5469,3522.1264
90,857.9039,3548.2014
91,865.2432,3628.3014
92,872.5646,3567.1014
93,879.8684,3407.5264
94,887.1546,3182.6764
95,894.4233,2943.6014
96,901.6747,2775.1014
97,908.9088,2733.8264
98,916.1255,2642.1014
99,923.3253,2503.3014
100,930.5079,2391.1264
101,937.6736,2350.2514
102,944.8224,2294.1264
103,951.9545,2246.5764
104,959.0698,2312.7764
105,966.1686,2433.8764
106,973.2508,2296.5014
107,980.3167,1989.9264
108,987.3661,1785.2514
109,994.3993,1783.6514
110,1001.416,1900.6264
111,1008.417,2043.8264
112,1015.402,2175.5764
113,1022.371,2218.8014
114,1029.324,2242.2014
115,1036.261,2277.1764
116,1043.183,2320.6764
117,1050.089,2474.7264
118,1056.98,2908.3264
119,1063.855,3206.7514
120,1070.714,3429.4014
121,1077.559,3569.5514
122,1084.388,3356.6014
123,1091.202,2820.7264
124,1098.001,2155.5764
125,1104.785,1838.3514
126,1111.554,1798.7014
127,1118.308,1737.9014
128,1125.048,1434.5764
129,1131.773,1199.3514
130,1138.483,1093.1514
131,1145.179,1055.6262
132,1151.86,1011.4513
133,1158.527,1002.40126
134,1165.18,1017.90126
135,1171.818,1024.9512
136,1178.442,1027.3513
137,1185.053,1041.5762
138,1191.649,1086.8514
139,1198.231,1107.4264
140,1204.799,1126.0014
141,1211.354,1174.6014
142,1217.895,1278.7014
143,1224.422,1408.6014
144,1230.936,1603.1514
145,1237.436,1866.7014
146,1243.922,2283.9264
147,1250.396,2865.1764
148,1256.856,3516.0514
149,1263.302,3858.3764
150,1269.736,3852.7514
151,1276.157,3613.7514
152,1282.564,3583.0764
153,1288.959,4219.4262
154,1295.34,5461.1012
155,1301.709,5821.7762
156,1308.065,4937.9762
157,1314.408,3832.0514
158,1320.739,2955.3514
159,1327.057,2263.1764
160,1333.363,1795.9514
161,1339.656,1598.6764
162,1345.937,1505.3264
163,1352.205,1419.6764
164,1358.462,1391.8514
165,1364.706,1377.6264
166,1370.938,1293.2264
167,1377.158,1154.3014
168,1383.366,1055.9264
169,1389.562,1079.3264
170,1395.746,1228.6764
171,1401.918,1384.0514
172,1408.079,1569.0264
173,1414.227,1951.4264
174,1420.365,2685.2514
175,1426.49,4533.5762
176,1432.605,7292.1012
177,1438.707,8647.5762
178,1444.799,8044.0012
179,1450.879,6923.2762
180,1456.948,5717.8012
181,1463.005,4285.3512
182,1469.052,2950.3764
183,1475.087,2002.7264
184,1481.111,1461.2264
185,1487.124,1159.9014
186,1493.127,985.07626
187,1499.118,877.95128
188,1505.099,793.37628
189,1511.069,729.85128
190,1517.028,685.42628
191,1522.977,641.00128
192,1528.915,614.60128
193,1534.842,586.07628
194,1540.76,567.92628
195,1546.666,544.67628
196,1552.563,529.05128
197,1558.448,516.45126
198,1564.324,500.70126
199,1570.19,479.37626
200,1576.045,469.52626
201,1581.89,472.27626
202,1587.726,473.10126
203,1593.551,462.95126
204,1599.366,452.75126
205,1605.172,454.90126
206,1610.967,482.45126
207,1616.753,541.10128
208,1622.529,625.17628
209,1628.296,753.67628
210,1634.052,1004.20126
211,1639.8,1687.4764
212,1645.537,3119.7264
213,1651.266,4458.7262
214,1656.984,3962.0264
215,1662.694,2278.3764
216,1668.394,1136.9264
217,1674.085,677.37628
218,1679.766,523.27628
219,1685.439,457.02626
220,1691.102,428.62626
221,1696.756,408.07626
222,1702.401,387.30126
223,1708.038,387.15126
224,1713.665,395.30126
225,1719.283,425.60126
226,1724.893,507.62626
227,1730.494,685.80128
228,1736.086,946.35128
229,1741.669,1174.9764
230,1747.244,1185.9514
231,1752.81,945.70128
232,1758.367,640.90128
233,1763.916,435.00126
234,1769.457,345.57626
235,1774.989,301.90126
236,1780.513,282.60126
237,1786.028,270.80126
238,1791.535,268.80126
239,1797.034,259.00126
240,1802.525,252.62626
241,1808.007,244.57626
242,1813.481,242.82626
243,1818.948,244.42626
244,1824.406,240.70126
245,1829.856,236.15126
246,1835.299,225.17626
247,1840.733,217.70126
248,1846.16,218.77626
249,1851.579,223.35126
250,1856.99,221.10126
251,1862.393,213.70126
252,1867.789,223.52626
253,1873.177,214.05126
254,1878.557,209.65126
255,1883.93,216.10126
