,id,大豆油浓度,玉米油浓度,茶油浓度,peak:843,peak:865,peak:966,peak:1077,peak:1263,peak:1301,peak:1438,peak:1651,peak:1656
0,4,0.0,2.5,97.5,5485.647199999999,5805.488866666667,3706.4972,5499.6972,6094.055533333333,8912.2892,13347.781333333332,6406.247200000001,5944.530533333334
1,74,0.0,70.0,30.0,8602.0365,8783.557333333332,6782.265666666666,8026.953166666666,11130.641666666668,13306.078333333333,19597.745,11571.432999999999,11436.932999999999
2,8,0.0,5.0,95.0,3390.968066666667,3581.2014,2347.718066666667,3451.8514,3742.393066666666,5406.9512,7994.559533333333,3846.826333333334,3566.3763333333336
3,33,0.0,15.0,85.0,8464.476555555559,8894.47666666667,5922.226333333333,8384.323777777781,9691.337555555556,13581.88,20170.963333333333,10184.06099999999,9598.033222222211
4,11,0.0,7.5,92.5,6824.969533333333,7197.469533333333,4706.5112,6884.594533333334,7639.427866666666,10954.261333333334,16284.195333333335,7972.852599999999,7424.727599999999
5,51,0.0,35.0,65.0,9804.72177777778,10200.554444444466,7305.5268888888895,9927.512777777767,11767.566666666666,15347.0133333333,22404.887777777767,11922.66388888889,11441.02488888889
6,44,0.0,25.0,75.0,8874.242444444442,9285.228555555555,6312.21433333334,8586.589666666667,10417.506555555543,14188.852222222233,21171.28222222223,11013.451000000001,10476.173111111113
7,59,0.0,40.0,60.0,7504.908333333333,7783.825,5531.345833333333,7173.804166666666,9113.617166666669,11873.805,17582.804999999997,9520.679166666667,9205.970833333335
8,48,0.0,30.0,70.0,8462.674333333336,8814.952111111115,6101.410444444446,8167.299333333336,10057.910888888877,13449.103333333333,20001.103333333333,10572.062555555543,10099.562555555547
9,65,0.0,50.0,50.0,8045.620500000001,8291.703833333335,6065.933,7615.558,10040.786833333334,12656.161666666667,18775.183333333334,10491.766,10224.974333333334
10,79,0.0,90.0,10.0,8288.562166666668,8375.978833333334,6763.541333333334,7602.458,11152.873333333331,12649.666666666666,18503.833333333332,11507.956833333335,11531.8735
11,70,0.0,60.0,40.0,9531.452833333335,9772.8695,7362.6195,9014.7445,12039.1,14766.1,21683.161666666667,12486.474,12258.724
12,39,0.0,20.0,80.0,7340.606555555561,7684.9537777777805,5195.898222222219,7159.7037777777805,8503.009333333333,11772.577777777768,17531.495555555568,8980.093444444445,8502.968444444447
13,26,0.0,10.0,90.0,7974.017555555559,8410.601111111113,5547.781333333333,8006.309222222226,8947.337222222226,12715.311111111101,18865.825555555566,9327.157111111113,8734.15711111111
14,77,0.0,80.0,20.0,7591.2245,7724.932833333333,6086.8495,7008.328666666667,9962.203,11621.1,17003.996666666666,10332.620666666668,10249.099833333334
